tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
138,4,200,DoubleDunk-v0,-2.0,2.0,-0.0687622789784,0.856799825366,38,751,495
139,4,200,Boxing-v0,-19.0,4.0,-1.31515151515,0.953138187165,43,750,497
140,4,200,Asteroids-v0,0.0,580.0,18.4708249497,0.073318228834,86,751,497
141,4,200,Hero-v0,0.0,0.0,0.0,0.0,10,751,504
142,4,200,Alien-v0,0.0,170.0,86.9841269841,0.722505995862,29,750,505
143,4,200,ChopperCommand-v0,0.0,600.0,138.613861386,0.4699669967,79,751,491
144,4,200,Frostbite-v0,0.0,70.0,5.39714867617,0.125432386125,6,750,497
145,4,200,Centipede-v0,0.0,2233.0,355.010060362,0.32783490912,35,751,495
146,4,200,Boxing-v0,-19.0,4.0,-1.4404040404,0.956783970773,43,750,491
147,4,200,Asteroids-v0,0.0,290.0,17.9633401222,0.133131739255,131,751,494
148,4,200,Bowling-v0,0.0,0.0,0.0,0.0,5,751,486
149,4,200,DoubleDunk-v0,-4.0,2.0,-0.106995884774,0.96855154194,38,751,487
150,4,200,Alien-v0,0.0,160.0,85.1334702259,0.704625827059,16,750,490
151,4,200,Hero-v0,0.0,75.0,0.15306122449,0.00181405895692,27,750,484
152,4,200,Frostbite-v0,0.0,80.0,9.69008264463,0.212522956841,25,750,473
153,4,200,ChopperCommand-v0,0.0,700.0,117.124735729,0.34984874852,6,750,469
154,4,200,DoubleDunk-v0,-2.0,2.0,-0.0298507462687,0.87372660507,38,750,467
155,4,200,Bowling-v0,0.0,0.0,0.0,0.0,10,750,470
156,4,200,ChopperCommand-v0,0.0,700.0,142.127659574,0.426574033869,6,751,479
157,4,200,Hero-v0,0.0,75.0,0.156576200418,0.00185571793087,27,750,482
158,4,200,Frostbite-v0,0.0,80.0,5.95435684647,0.131685108345,25,751,474
159,4,200,Alien-v0,0.0,140.0,98.7341772152,0.781767559344,25,751,481
160,4,200,Centipede-v0,0.0,2233.0,350.496881497,0.330939509345,35,751,489
161,4,200,Boxing-v0,-19.0,4.0,-1.90797546012,0.956544933721,43,751,482
162,4,200,Asteroids-v0,0.0,260.0,12.531120332,0.107692853304,41,751,488
163,4,200,Bowling-v0,0.0,0.0,0.0,0.0,5,751,491
164,4,200,Frostbite-v0,0.0,80.0,8.35030549898,0.184657162254,25,750,484
165,4,200,Alien-v0,0.0,210.0,97.6859504132,0.744846943981,25,750,485
166,4,200,Asteroids-v0,0.0,280.0,14.3092783505,0.113575052014,25,750,486
167,4,200,Boxing-v0,-19.0,4.0,-3.44032921811,0.877908037095,43,751,485
168,4,200,DoubleDunk-v0,-2.0,0.0,-0.0659793814433,0.861397479954,5,751,479
169,4,200,Hero-v0,0.0,75.0,0.156576200418,0.00185571793087,27,751,484
170,4,200,ChopperCommand-v0,0.0,700.0,121.074380165,0.361237607991,6,751,485
171,4,200,Centipede-v0,0.0,2233.0,335.113402062,0.315731342405,35,751,479
172,4,200,DoubleDunk-v0,-4.0,0.0,-0.0960334029228,0.885177453027,5,750,472
173,4,200,Asteroids-v0,0.0,360.0,19.406779661,0.122212922276,11,751,472
174,4,200,Boxing-v0,-19.0,4.0,-1.80720338983,0.955378979633,43,751,474
175,4,200,Bowling-v0,0.0,0.0,0.0,0.0,10,751,480
176,4,200,ChopperCommand-v0,0.0,700.0,143.75,0.431519274376,6,750,476
177,4,200,Alien-v0,0.0,210.0,96.4915966387,0.749544262149,25,750,466
178,4,200,Frostbite-v0,0.0,60.0,3.56223175966,0.0915593705293,13,751,465
179,4,200,Hero-v0,0.0,0.0,0.0,0.0,5,751,476
180,4,200,Centipede-v0,0.0,2233.0,246.527310924,0.235396889477,35,751,471
181,5,200,Boxing-v0,-19.0,4.0,-1.62208067941,0.956329982952,43,751,466
