tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,200,Boxing-v0,-19.0,1.0,-3.69866666667,0.882583703704,5,751,670
2,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,3,751,635
3,1,200,Alien-v0,0.0,140.0,44.6141732283,0.412234185013,6,750,616
4,1,200,FishingDerby-v0,-6.0,0.0,-5.96428571429,0.00721500721501,6,750,603
5,1,200,BattleZone-v0,0.0,1000.0,53.0679933665,0.0471715496591,4,751,588
6,1,200,Freeway-v0,0.0,2.0,0.030612244898,0.0136054421769,3,751,587
7,1,200,Frostbite-v0,0.0,40.0,7.46166950596,0.176414915768,6,750,590
8,1,200,DoubleDunk-v0,-2.0,2.0,-0.271186440678,0.767231638418,18,751,586
9,1,200,BankHeist-v0,0.0,10.0,0.0341296928328,0.00303375047402,6,750,584
10,1,200,BattleZone-v0,0.0,1000.0,49.6575342466,0.0441400304414,4,751,567
11,1,200,DoubleDunk-v0,-2.0,0.0,-0.153439153439,0.82304526749,3,751,579
12,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,3,751,567
13,1,200,Boxing-v0,-19.0,2.0,-2.49382716049,0.913275415333,6,750,560
14,1,200,Alien-v0,0.0,140.0,58.6428571429,0.556527372854,6,750,566
15,1,200,FishingDerby-v0,-6.0,4.0,-5.97879858657,0.00238712210444,6,750,569
16,1,200,Freeway-v0,0.0,2.0,0.0351493848858,0.0156219488381,10,751,573
17,1,200,Frostbite-v0,0.0,90.0,7.12041884817,0.144710413988,6,751,578
18,1,200,BankHeist-v0,0.0,10.0,0.0519031141869,0.00461361014994,20,751,580
19,1,200,BattleZone-v0,0.0,1000.0,56.8965517241,0.0505747126437,5,750,559
20,1,200,Alien-v0,0.0,140.0,76.8336314848,0.640859325245,6,751,547
21,1,200,FishingDerby-v0,-6.0,-6.0,-6.0,0.0,3,750,532
22,1,200,Freeway-v0,0.0,2.0,0.0714285714286,0.031746031746,7,750,547
23,1,200,Boxing-v0,-19.0,0.0,-2.68555758684,0.888353215699,3,750,538
24,1,200,Gravitar-v0,0.0,100.0,0.371747211896,0.0033044196613,6,751,540
25,1,200,DoubleDunk-v0,-4.0,0.0,-0.148148148148,0.887242798354,6,750,536
26,1,200,BankHeist-v0,0.0,10.0,0.111940298507,0.00995024875622,6,750,531
27,1,200,Frostbite-v0,0.0,80.0,6.42184557439,0.139725884076,24,750,526
28,1,200,BattleZone-v0,0.0,1000.0,79.8479087452,0.0709759188847,5,751,528
29,1,200,Boxing-v0,-19.0,1.0,-1.74053030303,0.907601010101,6,751,528
30,1,200,Frostbite-v0,0.0,80.0,7.5,0.163194444444,29,751,525
31,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,3,750,531
32,1,200,BankHeist-v0,0.0,0.0,0.0,0.0,3,750,523
33,1,200,Alien-v0,0.0,140.0,77.9541108987,0.676161860538,5,751,530
34,1,200,Freeway-v0,0.0,2.0,0.0150943396226,0.00670859538784,10,750,534
35,1,200,FishingDerby-v0,-6.0,4.0,-5.96629213483,0.00432792342905,13,750,537
36,1,200,DoubleDunk-v0,-2.0,2.0,-0.163873370577,0.815228636458,29,751,545
37,1,200,Frostbite-v0,0.0,70.0,8.44036697248,0.196384364143,15,750,526
38,1,200,Boxing-v0,-19.0,1.0,-2.46007604563,0.898335445712,10,751,519
39,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,3,751,524
40,1,200,FishingDerby-v0,-6.0,4.0,-5.96946564885,0.00407124681934,13,751,514
41,1,200,BattleZone-v0,0.0,1000.0,46.6926070039,0.041504539559,5,750,526
42,1,200,DoubleDunk-v0,-2.0,0.0,-0.11216730038,0.839881706802,3,751,538
43,1,200,Alien-v0,0.0,140.0,85.6505576208,0.761095516273,5,750,521
44,1,200,Freeway-v0,0.0,2.0,0.0307101727447,0.0136489656643,6,751,518
45,1,200,BankHeist-v0,0.0,10.0,0.03861003861,0.003432003432,10,750,516
46,2,200,BattleZone-v0,0.0,1000.0,125.968992248,0.111972437554,5,751,531
47,2,200,ChopperCommand-v0,0.0,300.0,107.90960452,0.546650856758,6,751,536
48,2,200,Alien-v0,0.0,140.0,101.641791045,0.870545233019,5,751,532
49,2,200,Boxing-v0,-25.0,1.0,-0.772556390977,0.923215336171,10,751,540
50,2,200,DoubleDunk-v0,-4.0,2.0,-0.0685185185185,0.975400091449,6,751,537
51,2,200,Bowling-v0,0.0,0.0,0.0,0.0,3,751,543
52,2,200,Frostbite-v0,0.0,70.0,4.6408839779,0.106905868548,15,751,544
53,2,200,Freeway-v0,0.0,2.0,0.0569852941176,0.0261437908497,22,750,540
54,2,200,Hero-v0,0.0,0.0,0.0,0.0,3,751,533
55,2,200,Alien-v0,0.0,140.0,97.5797373358,0.81598618184,5,750,532
56,2,200,Frostbite-v0,0.0,80.0,8.1954887218,0.179197994987,6,751,528
57,2,200,Freeway-v0,0.0,2.0,0.0151515151515,0.00673400673401,7,751,522
58,2,200,Hero-v0,0.0,75.0,0.14367816092,0.00170285227756,6,751,521
59,2,200,DoubleDunk-v0,-2.0,2.0,-0.0537428023033,0.863297078268,6,751,520
60,2,200,Bowling-v0,0.0,0.0,0.0,0.0,3,750,531
61,2,200,BattleZone-v0,0.0,1000.0,122.410546139,0.108809374346,6,750,519
62,2,200,ChopperCommand-v0,0.0,600.0,124.277456647,0.422845453032,10,751,518
