tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,200,Alien-v0,0.0,140.0,60.5733333333,0.52813303099,5,751,665
2,1,200,DoubleDunk-v0,-4.0,0.0,-0.201503759398,0.887886382623,5,750,621
3,1,200,Asteroids-v0,0.0,310.0,18.7278582931,0.134256582863,6,751,592
4,1,200,MsPacman-v0,50.0,210.0,65.8445945946,0.228580142643,8,751,591
5,1,200,Krull-v0,0.0,30.0,0.0507614213198,0.00150404211318,11,750,584
6,1,200,Bowling-v0,0.0,0.0,0.0,0.0,5,751,578
7,1,200,Hero-v0,0.0,75.0,0.259515570934,0.00307574009996,10,750,571
8,1,200,TimePilot-v0,0.0,100.0,10.6830122592,0.0949601089706,6,751,573
9,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,5,751,567
10,1,200,MsPacman-v0,50.0,210.0,69.8589065256,0.264378796786,8,751,575
11,1,200,Alien-v0,0.0,140.0,88.5043478261,0.684610075914,5,751,547
12,1,200,TimePilot-v0,0.0,200.0,10.4204753199,0.0910014218972,24,751,538
13,1,200,Krull-v0,0.0,0.0,0.0,0.0,5,750,544
14,1,200,DoubleDunk-v0,-2.0,2.0,-0.167279411765,0.813112745098,10,751,552
15,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,5,751,560
16,1,200,Hero-v0,0.0,0.0,0.0,0.0,5,751,554
17,1,200,Asteroids-v0,0.0,260.0,29.0072202166,0.23786365136,16,751,548
18,1,200,Bowling-v0,0.0,0.0,0.0,0.0,5,751,548
19,1,200,TimePilot-v0,0.0,200.0,7.84671532847,0.0681265206813,11,750,549
20,1,200,Asteroids-v0,0.0,280.0,30.4553734062,0.236397655601,6,751,552
21,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,5,751,522
22,1,200,Bowling-v0,0.0,0.0,0.0,0.0,5,751,522
23,1,200,Hero-v0,0.0,0.0,0.0,0.0,5,751,544
24,1,200,MsPacman-v0,40.0,160.0,70.5330882353,0.489174836601,6,751,551
25,1,200,Krull-v0,0.0,30.0,0.127041742287,0.00519818063678,11,750,545
26,1,200,Alien-v0,0.0,140.0,85.7614678899,0.671334956001,5,751,547
27,1,200,DoubleDunk-v0,-2.0,0.0,-0.102376599634,0.845013203331,5,750,533
28,1,200,Alien-v0,0.0,140.0,100.318949343,0.763027912854,5,751,529
29,1,200,DoubleDunk-v0,-2.0,2.0,-0.0567107750473,0.862003780718,6,750,536
30,1,200,MsPacman-v0,40.0,240.0,68.1156716418,0.326691542289,8,751,536
31,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,5,750,530
32,1,200,Bowling-v0,0.0,0.0,0.0,0.0,5,751,540
33,1,200,Hero-v0,0.0,0.0,0.0,0.0,3,751,540
34,1,200,Krull-v0,0.0,0.0,0.0,0.0,5,750,542
35,1,200,TimePilot-v0,0.0,100.0,12.3616236162,0.109881098811,11,750,535
36,1,200,Asteroids-v0,0.0,210.0,29.8504672897,0.295738703927,6,750,528
37,1,200,DoubleDunk-v0,-4.0,0.0,-0.195075757576,0.887415824916,5,750,523
38,1,200,MsPacman-v0,50.0,160.0,67.8011472275,0.356845001378,8,751,523
39,1,200,Asteroids-v0,0.0,240.0,27.361376673,0.250118027524,47,751,523
40,1,200,Krull-v0,0.0,0.0,0.0,0.0,5,750,531
41,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,5,751,518
42,1,200,Hero-v0,0.0,0.0,0.0,0.0,5,751,525
43,1,200,Bowling-v0,0.0,0.0,0.0,0.0,5,750,521
44,1,200,Alien-v0,0.0,140.0,107.120921305,0.766918667659,4,750,517
45,1,200,TimePilot-v0,0.0,100.0,9.28433268859,0.0825274016763,31,751,510
46,2,200,DoubleDunk-v0,-2.0,0.0,-0.156862745098,0.81917211329,4,750,511
47,2,200,Alien-v0,0.0,180.0,118.512720157,0.88347708439,6,751,523
48,2,200,MsPacman-v0,60.0,240.0,69.4072657744,0.118657004147,8,751,520
49,2,200,Kangaroo-v0,0.0,0.0,0.0,0.0,5,750,516
50,2,200,Freeway-v0,0.0,2.0,0.0271317829457,0.0172265288544,8,751,524
51,2,200,TimePilot-v0,0.0,100.0,7.06106870229,0.0627650551315,31,750,520
52,2,200,Asteroids-v0,0.0,240.0,31.5192307692,0.283030626781,47,750,519
53,2,200,Krull-v0,0.0,0.0,0.0,0.0,5,750,525
54,2,200,RoadRunner-v0,0.0,400.0,18.8571428571,0.0814814814815,11,751,520
55,2,200,Kangaroo-v0,0.0,0.0,0.0,0.0,4,750,521
56,2,200,Asteroids-v0,0.0,240.0,34.472168906,0.301023672425,47,750,523
57,2,200,Alien-v0,0.0,180.0,107.495219885,0.799041091938,6,751,516
58,2,200,MsPacman-v0,60.0,210.0,71.1240310078,0.165083740071,44,751,506
59,2,200,Krull-v0,0.0,0.0,0.0,0.0,3,750,505
60,2,200,TimePilot-v0,0.0,200.0,6.93069306931,0.0580858085809,5,750,507
61,2,200,Freeway-v0,0.0,2.0,0.0394477317554,0.0175323252246,8,751,516
62,2,200,RoadRunner-v0,0.0,200.0,16.2790697674,0.0757967269595,66,750,512
63,2,200,DoubleDunk-v0,-2.0,0.0,-0.150390625,0.822916666667,4,750,516
64,2,200,Krull-v0,0.0,0.0,0.0,0.0,4,750,516
65,2,200,MsPacman-v0,40.0,240.0,70.3100775194,0.352420327304,8,751,515
66,2,200,Asteroids-v0,0.0,240.0,31.786407767,0.293018099005,47,751,511
67,2,200,RoadRunner-v0,0.0,200.0,21.5264187867,0.107849532507,6,750,516
68,2,200,Freeway-v0,0.0,2.0,0.0174418604651,0.00861326442722,6,750,503
69,2,200,Alien-v0,0.0,180.0,114.21471173,0.872569793857,6,750,496
70,2,200,TimePilot-v0,0.0,200.0,5.4435483871,0.0430107526882,5,750,496
71,2,200,Kangaroo-v0,0.0,0.0,0.0,0.0,4,750,507
