tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,200,TimePilot-v0,0.0,100.0,12.8,0.113777777778,3,751,664
2,1,200,Asteroids-v0,0.0,260.0,24.2921686747,0.195638570059,8,751,628
3,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,751,620
4,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,751,601
5,1,200,Alien-v0,0.0,140.0,52.9783693844,0.458495100758,4,750,589
6,1,200,WizardOfWor-v0,0.0,100.0,0.339558573854,0.00301829843426,6,750,576
7,1,200,Hero-v0,0.0,0.0,0.0,0.0,4,751,582
8,1,200,DoubleDunk-v0,-2.0,0.0,-0.214776632302,0.794196258114,3,750,577
9,1,200,Skiing-v0,-1072.0,-939.0,-999.526863085,0.887930898686,7,750,580
10,1,200,Asteroids-v0,0.0,380.0,32.5862068966,0.190764266989,6,751,567
11,1,200,WizardOfWor-v0,0.0,0.0,0.0,0.0,4,751,569
12,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,4,751,566
13,1,200,Hero-v0,0.0,0.0,0.0,0.0,3,751,553
14,1,200,TimePilot-v0,0.0,100.0,14.8282097649,0.131806309021,6,750,543
15,1,200,Skiing-v0,-1057.0,-940.0,-997.46961326,0.848421158716,5,750,554
16,1,200,Alien-v0,0.0,140.0,70.8483754513,0.586884091784,4,750,560
17,1,200,DoubleDunk-v0,-4.0,0.0,-0.142857142857,0.884523809524,3,751,555
18,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,751,561
19,1,200,Skiing-v0,-1067.0,-952.0,-998.324420677,0.908457509601,10,751,550
20,1,200,Asteroids-v0,0.0,380.0,39.8,0.230076946753,15,751,560
21,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,750,560
22,1,200,TimePilot-v0,0.0,100.0,17.1428571429,0.152380952381,3,750,556
23,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,750,557
24,1,200,WizardOfWor-v0,0.0,100.0,0.359066427289,0.0031917015759,16,750,555
25,1,200,DoubleDunk-v0,-2.0,0.0,-0.176576576577,0.813613613614,4,750,561
26,1,200,Hero-v0,0.0,0.0,0.0,0.0,3,751,559
27,1,200,Alien-v0,0.0,140.0,84.4722719141,0.678081608314,4,751,555
28,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,4,751,550
29,1,200,Hero-v0,0.0,0.0,0.0,0.0,4,750,550
30,1,200,Alien-v0,0.0,140.0,96.6909090909,0.756924345496,4,751,565
31,1,200,WizardOfWor-v0,0.0,200.0,0.530973451327,0.0031465093412,4,751,560
32,1,200,TimePilot-v0,0.0,100.0,25.1785714286,0.22380952381,5,751,557
33,1,200,Skiing-v0,-1053.0,-934.0,-998.337522442,0.804404473797,11,750,546
34,1,200,DoubleDunk-v0,-3.0,2.0,-0.17032967033,0.915913715914,6,750,541
35,1,200,Asteroids-v0,0.0,430.0,38.9279112754,0.199069154298,28,751,545
36,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,751,543
37,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,751,528
38,1,200,Alien-v0,0.0,140.0,97.196969697,0.719885934172,4,750,511
39,1,200,Asteroids-v0,0.0,330.0,40.0782778865,0.251894900297,17,751,503
40,1,200,Hero-v0,0.0,0.0,0.0,0.0,3,750,513
41,1,200,DoubleDunk-v0,-2.0,2.0,-0.163742690058,0.812648906216,23,750,500
42,1,200,WizardOfWor-v0,0.0,100.0,1.4,0.0124444444444,17,750,505
43,1,200,Skiing-v0,-1058.0,-944.0,-998.718811881,0.859370590799,6,751,500
44,1,200,TimePilot-v0,0.0,100.0,23.2,0.206222222222,3,750,503
45,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,750,495
46,2,200,TimePilot-v0,0.0,100.0,28.4848484848,0.253198653199,3,751,515
47,2,200,Alien-v0,0.0,140.0,106.116504854,0.741298461132,6,750,501
48,2,200,ChopperCommand-v0,0.0,300.0,27.3453093812,0.130701559843,6,751,524
49,2,200,WizardOfWor-v0,0.0,100.0,1.14503816794,0.0101781170483,18,751,514
50,2,200,Asteroids-v0,0.0,360.0,39.3190661479,0.229179676867,10,750,506
51,2,200,Skiing-v0,-1058.0,-944.0,-996.298418972,0.873219191257,6,751,507
52,2,200,Freeway-v0,0.0,2.0,0.0197238658777,0.00876616261232,20,751,511
53,2,200,DoubleDunk-v0,-4.0,2.0,-0.250489236791,0.946872508516,6,750,509
54,2,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,750,521
55,2,200,ChopperCommand-v0,0.0,600.0,40.8829174664,0.138195777351,6,750,520
56,2,200,TimePilot-v0,0.0,100.0,23.4615384615,0.208547008547,3,750,509
57,2,200,Alien-v0,0.0,140.0,108.094302554,0.7414475941,4,751,527
58,2,200,Asteroids-v0,0.0,360.0,34.5730550285,0.209754205678,10,750,504
59,2,200,DoubleDunk-v0,-4.0,2.0,-0.230158730159,0.950617283951,6,751,511
60,2,200,Freeway-v0,0.0,2.0,0.0195694716243,0.00869754294412,20,750,502
61,2,200,Skiing-v0,-1058.0,-939.0,-997.171314741,0.846060852276,23,750,511
62,2,200,WizardOfWor-v0,0.0,100.0,1.56555772994,0.0139160687106,18,751,490
63,2,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,750,500
64,2,200,Skiing-v0,-1070.0,-935.0,-995.446,0.891764060357,8,751,504
65,2,200,DoubleDunk-v0,-2.0,2.0,-0.212301587302,0.791666666667,6,750,493
66,2,200,ChopperCommand-v0,0.0,600.0,56.1866125761,0.187714421656,43,750,498
67,2,200,Alien-v0,0.0,140.0,97.7108433735,0.738081578013,4,751,511
68,2,200,TimePilot-v0,0.0,100.0,26.614481409,0.23657316808,3,751,500
69,2,200,Asteroids-v0,0.0,430.0,38.74,0.199544738898,10,750,514
70,2,200,WizardOfWor-v0,0.0,100.0,0.972762645914,0.00864677907479,18,750,493
71,2,200,Freeway-v0,0.0,2.0,0.0385395537525,0.018030200586,35,750,489
72,2,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,750,501
73,2,200,Skiing-v0,-1072.0,-942.0,-997.834331337,0.90090913505,8,751,493
74,2,200,DoubleDunk-v0,-2.0,2.0,-0.133874239351,0.825783186838,6,750,497
75,2,200,TimePilot-v0,0.0,100.0,21.5291750503,0.191370444892,3,751,486
76,2,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,750,491
77,2,200,Alien-v0,0.0,140.0,106.720977597,0.734084265071,4,751,491
78,2,200,Freeway-v0,0.0,2.0,0.0122199592668,0.00543109300747,35,751,499
79,2,200,WizardOfWor-v0,0.0,100.0,0.60120240481,0.00534402137609,18,750,505
80,2,200,ChopperCommand-v0,0.0,600.0,53.8613861386,0.182080430265,6,750,510
81,2,200,Asteroids-v0,0.0,480.0,39.431372549,0.183731239409,28,751,501
82,2,200,Alien-v0,0.0,140.0,106.147704591,0.751621473606,4,750,498
83,2,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,4,751,500
84,2,200,Freeway-v0,0.0,2.0,0.032,0.0142222222222,34,750,499
85,2,200,Skiing-v0,-1047.0,-935.0,-995.635270541,0.795145563235,8,750,490
86,2,200,Asteroids-v0,0.0,480.0,40.8979591837,0.192356386999,28,751,491
87,2,200,TimePilot-v0,0.0,100.0,24.6435845214,0.219054084635,6,751,486
88,2,200,DoubleDunk-v0,-4.0,0.0,-0.199588477366,0.885459533608,3,751,509
89,2,200,ChopperCommand-v0,0.0,600.0,58.1532416503,0.193067986126,19,751,496
90,2,200,WizardOfWor-v0,0.0,100.0,0.604838709677,0.00537634408602,18,751,491
91,3,200,BattleZone-v0,0.0,1000.0,20.366598778,0.0181036433582,9,751,495
92,3,200,TimePilot-v0,0.0,100.0,25.2525252525,0.224466891134,3,751,501
93,3,200,Skiing-v0,-1053.0,-935.0,-997.582834331,0.8157214251,6,750,497
94,3,200,ChopperCommand-v0,0.0,600.0,57.9476861167,0.187395980823,6,750,496
95,3,200,Alien-v0,0.0,140.0,103.487903226,0.748226172189,4,751,498
96,3,200,Asteroids-v0,0.0,480.0,52.4297188755,0.237163158808,28,751,496
97,3,200,DoubleDunk-v0,-4.0,0.0,-0.175403225806,0.886424731183,3,750,492
98,3,200,BankHeist-v0,0.0,10.0,0.121951219512,0.0108401084011,15,751,488
99,3,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,751,493
100,3,200,TimePilot-v0,0.0,100.0,28.1947261663,0.250619788145,3,751,472
101,3,200,Skiing-v0,-1052.0,-927.0,-998.605932203,0.774897777778,8,751,484
102,3,200,BankHeist-v0,0.0,10.0,0.0206611570248,0.00183654729109,3,751,488
103,3,200,BattleZone-v0,0.0,1000.0,14.3442622951,0.0127504553734,50,751,490
104,3,200,DoubleDunk-v0,-2.0,0.0,-0.0857142857143,0.850793650794,3,751,487
105,3,200,Alien-v0,0.0,140.0,110.246406571,0.777288875852,4,751,483
106,3,200,ChopperCommand-v0,0.0,600.0,52.380952381,0.175651151497,6,751,487
107,3,200,Asteroids-v0,0.0,490.0,58.1108829569,0.254105089493,148,751,488
108,3,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,751,477
109,3,200,BattleZone-v0,0.0,1000.0,54.5073375262,0.04845096669,9,751,477
110,3,200,Alien-v0,0.0,140.0,112.473794549,0.780235504404,4,751,491
111,3,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,750,488
112,3,200,BankHeist-v0,0.0,10.0,0.0409836065574,0.00364298724954,36,750,494
113,3,200,Skiing-v0,-1052.0,-927.0,-997.188259109,0.787811267656,33,750,495
114,3,200,TimePilot-v0,0.0,100.0,30.9090909091,0.274747474747,3,750,492
115,3,200,ChopperCommand-v0,0.0,600.0,39.6341463415,0.135300612265,6,750,490
116,3,200,DoubleDunk-v0,-6.0,0.0,-0.379591836735,0.899974804737,3,750,485
117,3,200,Asteroids-v0,0.0,490.0,49.0927835052,0.215150521952,148,750,485
118,3,200,Alien-v0,0.0,140.0,108.989690722,0.773499777918,4,750,487
119,3,200,BankHeist-v0,0.0,10.0,0.041067761807,0.00365046771618,52,751,482
120,3,200,Asteroids-v0,0.0,490.0,54.5020746888,0.24820686171,148,750,457
121,3,200,BattleZone-v0,0.0,1000.0,19.693654267,0.0175054704595,9,751,479
122,3,200,DoubleDunk-v0,-4.0,0.0,-0.148225469729,0.887265135699,3,751,482
123,3,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,751,466
124,3,200,TimePilot-v0,0.0,100.0,38.8412017167,0.345255126371,3,751,469
125,3,200,ChopperCommand-v0,0.0,300.0,40.7249466951,0.202374371529,15,750,467
126,3,200,Skiing-v0,-1063.0,-927.0,-997.415417559,0.834794639189,33,750,469
127,3,200,Asteroids-v0,0.0,490.0,53.3262260128,0.239199867464,148,750,478
128,3,200,ChopperCommand-v0,0.0,300.0,55.230125523,0.276873805465,6,751,485
129,3,200,BattleZone-v0,0.0,1000.0,12.3711340206,0.0109965635739,9,751,481
130,3,200,Skiing-v0,-1048.0,-927.0,-995.721413721,0.776469512758,33,750,464
131,3,200,BankHeist-v0,0.0,10.0,0.0646551724138,0.00574712643678,110,750,470
132,3,200,DoubleDunk-v0,-3.0,2.0,-0.146808510638,0.920888888889,39,750,471
133,3,200,TimePilot-v0,0.0,100.0,30.9978768577,0.27553668318,3,751,478
134,3,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,751,476
135,3,200,Alien-v0,0.0,140.0,107.457983193,0.770289068008,4,751,477
136,4,200,IceHockey-v0,-1.0,1.0,-0.958071278826,0.0316794782204,149,750,481
137,4,200,Alien-v0,0.0,140.0,118.212058212,0.801391658535,4,751,481
138,4,200,Krull-v0,0.0,0.0,0.0,0.0,3,751,487
139,4,200,DoubleDunk-v0,-2.0,2.0,-0.123203285421,0.832762947753,39,750,490
140,4,200,Skiing-v0,-1060.0,-927.0,-998.897959184,0.807066615441,33,751,478
141,4,200,TimePilot-v0,0.0,100.0,41.2133891213,0.366341236634,3,750,476
142,4,200,ChopperCommand-v0,0.0,600.0,38.025210084,0.126984126984,6,751,461
143,4,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,751,467
144,4,200,Asteroids-v0,0.0,490.0,43.0835117773,0.19805848602,148,751,459
145,4,200,ChopperCommand-v0,0.0,600.0,56.2091503268,0.192151483364,6,750,476
146,4,200,Asteroids-v0,0.0,490.0,50.3991596639,0.232171391394,148,751,475
147,4,200,Krull-v0,0.0,0.0,0.0,0.0,3,751,473
148,4,200,Alien-v0,0.0,140.0,103.699788584,0.758069542123,4,751,469
149,4,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,750,474
150,4,200,TimePilot-v0,0.0,100.0,47.2573839662,0.420065635256,3,751,479
151,4,200,Skiing-v0,-1047.0,-927.0,-996.845511482,0.75799118534,27,750,480
152,4,200,IceHockey-v0,-1.0,1.0,-0.941666666667,0.0388888888889,34,751,475
153,4,200,DoubleDunk-v0,-4.0,2.0,-0.24,0.949603638726,39,751,463
154,4,200,Asteroids-v0,0.0,490.0,54.2980561555,0.235916420314,148,750,464
155,4,200,IceHockey-v0,-1.0,1.0,-0.9375,0.0421455938697,34,750,469
156,4,200,DoubleDunk-v0,-2.0,2.0,-0.18763326226,0.804074863776,39,751,472
157,4,200,ChopperCommand-v0,0.0,600.0,54.0254237288,0.178489223687,6,750,466
158,4,200,TimePilot-v0,0.0,100.0,37.7682403433,0.335717691941,3,750,464
159,4,200,Krull-v0,0.0,0.0,0.0,0.0,3,751,474
160,4,200,Alien-v0,0.0,140.0,106.012658228,0.749236966235,4,751,484
161,4,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,750,489
162,4,200,Skiing-v0,-1068.0,-927.0,-996.744376278,0.857693140123,33,751,483
163,4,200,Krull-v0,0.0,0.0,0.0,0.0,3,751,498
164,4,200,TimePilot-v0,0.0,100.0,51.0040160643,0.453369031682,3,750,486
165,4,200,Skiing-v0,-1072.0,-927.0,-996.092592593,0.877994548915,33,751,490
166,4,200,DoubleDunk-v0,-4.0,2.0,-0.373469387755,0.930209120685,39,751,482
167,4,200,Alien-v0,0.0,140.0,113.340248963,0.770297607286,4,750,489
168,4,200,IceHockey-v0,-1.0,1.0,-0.977505112474,0.0127243808225,13,750,484
169,4,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,750,496
170,4,200,Asteroids-v0,0.0,490.0,42.7620967742,0.189506612388,148,750,490
171,4,200,ChopperCommand-v0,0.0,300.0,29.387755102,0.13544973545,20,751,493
172,4,200,Alien-v0,0.0,140.0,106.389452333,0.740967651428,4,751,488
173,4,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,751,479
174,4,200,Skiing-v0,-1052.0,-944.0,-996.480167015,0.842456484337,15,751,493
175,4,200,DoubleDunk-v0,-2.0,2.0,-0.190669371197,0.800540906018,39,751,491
176,4,200,ChopperCommand-v0,0.0,600.0,26.4765784114,0.0895124588268,6,750,471
177,4,200,IceHockey-v0,-1.0,1.0,-0.891719745223,0.066053314461,48,750,486
178,4,200,Krull-v0,0.0,0.0,0.0,0.0,3,751,469
179,4,200,TimePilot-v0,0.0,100.0,50.1066098081,0.445392087183,3,750,473
180,4,200,Asteroids-v0,0.0,360.0,49.6617336152,0.278846460586,8,751,474
181,5,200,Skiing-v0,-1057.0,-944.0,-995.989451477,0.875859942238,15,750,483
182,5,200,Atlantis-v0,0.0,200.0,0.414078674948,0.00184034966644,139,750,487
183,5,200,Asteroids-v0,0.0,610.0,53.7166324435,0.198418273725,47,750,479
184,5,200,MsPacman-v0,50.0,230.0,70.2922755741,0.233912099682,79,750,488
185,5,200,Alien-v0,0.0,140.0,98.1762295082,0.677298241701,4,750,494
186,5,200,TimePilot-v0,0.0,100.0,72.8744939271,0.647773279352,3,751,477
187,5,200,ChopperCommand-v0,0.0,300.0,14.0461215933,0.065636565986,5,751,476
188,5,200,DoubleDunk-v0,-4.0,2.0,-0.189075630252,0.957153231663,39,751,477
189,5,200,UpNDown-v0,10.0,880.0,68.679245283,0.160098150667,28,751,483
190,5,200,DoubleDunk-v0,-2.0,2.0,-0.11801242236,0.833448355187,39,750,475
191,5,200,UpNDown-v0,10.0,520.0,63.1578947368,0.242982028954,3,751,467
192,5,200,Atlantis-v0,0.0,0.0,0.0,0.0,3,751,481
193,5,200,ChopperCommand-v0,0.0,600.0,31.6008316008,0.102666769333,6,751,467
194,5,200,Skiing-v0,-1047.0,-927.0,-997.453961456,0.757353742036,33,751,474
195,5,200,Alien-v0,0.0,140.0,106.919831224,0.766994842944,4,750,477
196,5,200,MsPacman-v0,50.0,160.0,63.0188679245,0.265248251526,49,750,471
197,5,200,Asteroids-v0,0.0,610.0,61.7197452229,0.224078141068,114,751,461
198,5,200,TimePilot-v0,0.0,100.0,60.0867678959,0.534104603519,6,750,458
199,5,200,ChopperCommand-v0,0.0,600.0,17.6855895197,0.0582241630277,6,751,469
200,5,200,UpNDown-v0,10.0,1530.0,73.091684435,0.0993113511719,132,751,468
201,5,200,Skiing-v0,-1057.0,-919.0,-996.448717949,0.793310558066,10,751,467
202,5,200,MsPacman-v0,50.0,180.0,65.182012848,0.25621597422,28,751,462
203,5,200,Asteroids-v0,0.0,610.0,65.367965368,0.236516248341,114,751,459
204,5,200,TimePilot-v0,0.0,100.0,62.962962963,0.559670781893,3,750,460
205,5,200,Alien-v0,0.0,140.0,120.239130435,0.797318347629,4,750,461
206,5,200,DoubleDunk-v0,-2.0,0.0,-0.177874186551,0.81176187033,3,751,465
207,5,200,Atlantis-v0,0.0,400.0,6.66666666667,0.0260454002389,165,751,468
208,5,200,UpNDown-v0,10.0,660.0,68.1623931624,0.20374809645,66,751,471
209,5,200,ChopperCommand-v0,0.0,300.0,21.4437367304,0.0996042043459,10,750,468
210,5,200,MsPacman-v0,50.0,210.0,68.8461538462,0.240740740741,8,751,466
211,5,200,Asteroids-v0,0.0,610.0,60.2575107296,0.223567100439,114,750,471
212,5,200,Alien-v0,0.0,140.0,109.49044586,0.759054648045,4,751,478
213,5,200,Skiing-v0,-1048.0,-919.0,-997.529288703,0.729493964639,10,751,466
214,5,200,Atlantis-v0,0.0,200.0,1.28755364807,0.00572246065808,156,751,471
215,5,200,DoubleDunk-v0,-2.0,2.0,-0.135881104034,0.82661004954,131,751,459
216,5,200,TimePilot-v0,0.0,100.0,61.4379084967,0.546114742193,3,751,475
217,5,200,Skiing-v0,-1057.0,-930.0,-994.804210526,0.840000942692,10,750,479
218,5,200,MsPacman-v0,60.0,160.0,63.9665970772,0.0576014845743,16,750,476
219,5,200,Asteroids-v0,0.0,610.0,55.8613445378,0.209940753153,114,751,476
220,5,200,DoubleDunk-v0,-2.0,2.0,-0.13025210084,0.827264239029,50,751,471
221,5,200,Alien-v0,0.0,140.0,115.116772824,0.785398943725,6,750,474
222,5,200,UpNDown-v0,10.0,520.0,63.5864978903,0.245006563706,16,751,484
223,5,200,Atlantis-v0,0.0,200.0,2.27272727273,0.0128558310376,41,750,481
224,5,200,ChopperCommand-v0,0.0,600.0,27.4428274428,0.0926054259388,6,751,485
225,5,200,TimePilot-v0,0.0,100.0,59.587628866,0.529667812142,3,751,474
226,6,500,TimePilot-v0,100.0,200.0,128.691983122,0.255039849977,18,751,480
227,6,500,Hero-v0,0.0,0.0,0.0,0.0,3,751,490
228,6,500,Skiing-v0,-2588.0,-2400.0,-2494.49795918,0.840645719583,32,751,476
229,6,500,Boxing-v0,-38.0,-4.0,-12.9306722689,0.898975507158,5,751,485
230,6,500,Alien-v0,0.0,140.0,103.525773196,0.717544474835,9,751,488
231,6,500,Asteroids-v0,0.0,680.0,159.282786885,0.47535547488,38,750,471
232,6,500,Krull-v0,0.0,333.0,4.64331210191,0.0279556540531,15,750,471
233,6,500,MsPacman-v0,60.0,340.0,71.6985138004,0.0773237816004,14,751,456
234,6,500,DoubleDunk-v0,-4.0,0.0,-0.175438596491,0.88693957115,6,750,457
235,6,500,Boxing-v0,-38.0,-2.0,-12.9606126915,0.90086236654,19,751,459
236,6,500,Alien-v0,0.0,140.0,109.498910675,0.757201646091,26,751,459
237,6,500,Asteroids-v0,0.0,680.0,156.862745098,0.462542058987,75,750,447
238,6,500,DoubleDunk-v0,-2.0,2.0,-0.102908277405,0.841163310962,107,750,455
239,6,500,Krull-v0,0.0,189.0,4.17362637363,0.0389081314251,10,750,475
240,6,500,Hero-v0,0.0,0.0,0.0,0.0,3,751,478
241,6,500,Skiing-v0,-2591.0,-2416.0,-2496.20083682,0.870577671515,5,750,475
242,6,500,MsPacman-v0,60.0,210.0,69.3684210526,0.082097985705,44,751,468
243,6,500,TimePilot-v0,100.0,300.0,146.581196581,0.412155745489,7,751,471
244,6,500,Asteroids-v0,0.0,630.0,159.532908705,0.498431373458,12,750,455
245,6,500,TimePilot-v0,100.0,200.0,167.032967033,0.595848595849,18,750,461
246,6,500,Alien-v0,0.0,140.0,89.1540130152,0.680173732544,18,750,472
247,6,500,MsPacman-v0,60.0,440.0,73.6016949153,0.0790856117397,74,750,471
248,6,500,Hero-v0,0.0,2770.0,5.88110403397,0.00188723755603,69,750,459
249,6,500,DoubleDunk-v0,-4.0,2.0,-0.357298474946,0.932999811722,52,750,462
250,6,500,Boxing-v0,-38.0,-2.0,-21.5800865801,0.594665051455,114,750,449
251,6,500,Krull-v0,0.0,189.0,5.83296213808,0.0518001145851,10,750,448
252,6,500,Skiing-v0,-2596.0,-2410.0,-2494.83705357,0.876452594758,59,751,444
253,6,500,Alien-v0,0.0,210.0,100.36036036,0.751754021595,14,751,438
254,6,500,Hero-v0,0.0,2640.0,23.9726027397,0.00816266535099,6,750,456
255,6,500,Asteroids-v0,0.0,560.0,157.478070175,0.530417064487,152,751,451
256,6,500,DoubleDunk-v0,-6.0,2.0,-0.310421286031,0.978319783198,248,750,452
257,6,500,Skiing-v0,-2583.0,-2408.0,-2496.6659292,0.823123055004,104,750,465
258,6,500,Boxing-v0,-38.0,-2.0,-14.7440860215,0.840550466835,80,750,462
259,6,500,MsPacman-v0,60.0,220.0,74.3506493506,0.137340668591,11,750,463
260,6,500,TimePilot-v0,100.0,200.0,152.051835853,0.462682985361,6,750,464
261,6,500,Krull-v0,0.0,180.0,10.5517241379,0.100249042146,6,750,473
262,6,500,Hero-v0,0.0,0.0,0.0,0.0,3,750,453
263,6,500,MsPacman-v0,60.0,440.0,79.4701986755,0.108851968036,84,750,454
264,6,500,Skiing-v0,-2573.0,-2418.0,-2496.71365639,0.820390816998,303,751,464
265,6,500,Krull-v0,0.0,243.0,10.0668103448,0.074497159285,303,750,456
266,6,500,Asteroids-v0,0.0,530.0,156.293859649,0.559062800786,80,751,454
267,6,500,TimePilot-v0,100.0,200.0,164.317180617,0.571708272149,6,751,457
268,6,500,Alien-v0,0.0,140.0,79.6061269147,0.646432168783,18,750,453
269,6,500,Boxing-v0,-38.0,0.0,-16.6887417219,0.765284886435,102,750,457
270,6,500,DoubleDunk-v0,-6.0,0.0,-0.19693654267,0.893427344193,18,751,454
271,7,500,DoubleDunk-v0,-6.0,0.0,-0.114537444934,0.890194158917,6,750,461
272,7,500,Gravitar-v0,0.0,0.0,0.0,0.0,6,750,462
273,7,500,Alien-v0,0.0,140.0,93.9826839827,0.751617241413,18,750,457
274,7,500,Boxing-v0,-44.0,0.0,-15.2319474836,0.867021116275,102,750,456
275,7,500,Skiing-v0,-2588.0,-955.0,-2487.70175439,0.146310154769,49,751,467
276,7,500,PrivateEye-v0,-869.0,100.0,-211.965738758,0.788849318242,157,751,461
277,7,500,ChopperCommand-v0,0.0,800.0,114.09978308,0.281634128706,11,751,458
278,7,500,Asteroids-v0,0.0,530.0,134.148471616,0.497606207537,110,751,434
279,7,500,TimePilot-v0,100.0,300.0,168.66359447,0.608294930876,79,750,447
280,7,500,DoubleDunk-v0,-6.0,0.0,-0.250559284116,0.896843151877,5,751,456
281,7,500,Asteroids-v0,0.0,530.0,151.162280702,0.541260096168,80,750,454
282,7,500,PrivateEye-v0,-1000.0,0.0,-197.90969163,0.815305495839,5,750,460
283,7,500,ChopperCommand-v0,0.0,800.0,142.173913043,0.357608695652,160,750,456
284,7,500,TimePilot-v0,100.0,300.0,181.798245614,0.72514619883,79,751,461
285,7,500,Skiing-v0,-2586.0,-988.0,-2496.31236443,0.140048305167,19,751,453
286,7,500,Boxing-v0,-38.0,-2.0,-10.3642384106,0.923715392279,30,750,445
287,7,500,Alien-v0,0.0,140.0,108.224719101,0.751346531122,9,751,445
288,7,500,Gravitar-v0,0.0,100.0,0.224719101124,0.0019975031211,68,750,453
289,7,500,Gravitar-v0,0.0,250.0,0.551876379691,0.00196222712779,68,750,464
290,7,500,Asteroids-v0,0.0,560.0,151.637931034,0.521717882555,46,750,449
291,7,500,Skiing-v0,-2601.0,-955.0,-2489.20267261,0.168799517975,49,751,455
292,7,500,Alien-v0,0.0,140.0,103.318681319,0.734315117989,18,751,460
293,7,500,TimePilot-v0,100.0,500.0,178.913043478,0.435507246377,18,750,448
294,7,500,ChopperCommand-v0,0.0,500.0,157.366071429,0.557222222222,160,751,448
295,7,500,PrivateEye-v0,-869.0,0.0,-106.051339286,0.813483169667,6,751,449
296,7,500,Boxing-v0,-38.0,3.0,-7.07126948775,0.949990144152,59,750,446
297,7,500,DoubleDunk-v0,-4.0,0.0,-0.19730941704,0.886895864474,18,751,451
298,7,500,Asteroids-v0,0.0,580.0,164.323725055,0.543788864545,139,750,452
299,7,500,PrivateEye-v0,-869.0,0.0,-86.5951327434,0.831586083715,6,751,447
300,7,500,ChopperCommand-v0,0.0,500.0,184.787472036,0.6660899826,11,751,452
301,7,500,Gravitar-v0,0.0,100.0,0.221238938053,0.00196656833825,6,750,443
302,7,500,TimePilot-v0,100.0,500.0,190.06772009,0.497366440933,57,750,452
303,7,500,DoubleDunk-v0,-4.0,2.0,-0.172566371681,0.960340871845,77,750,446
304,7,500,Boxing-v0,-41.0,3.0,-7.76905829596,0.949459948033,228,751,443
305,7,500,Alien-v0,0.0,140.0,128.284424379,0.842657002605,6,750,443
306,7,500,Skiing-v0,-2581.0,-955.0,-2491.23702032,0.137533825617,49,751,441
