tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize
75,2,200,TimePilot-v0,0.0,200.0,6.88259109312,0.0575798470535,9
76,2,200,MsPacman-v0,50.0,220.0,70.5785123967,0.273283320783,26
77,2,200,Hero-v0,0.0,0.0,0.0,0.0,6
78,2,200,Alien-v0,0.0,210.0,103.138075314,0.816343397734,40
79,2,200,Venture-v0,0.0,0.0,0.0,0.0,6
80,2,200,Jamesbond-v0,0.0,50.0,0.214592274678,0.00381497377206,73
81,2,200,RoadRunner-v0,0.0,300.0,92.6406926407,0.459195125862,49
82,2,200,Jamesbond-v0,0.0,50.0,0.436681222707,0.00776322173702,73
83,2,200,Venture-v0,0.0,0.0,0.0,0.0,6
84,2,200,DoubleDunk-v0,-2.0,2.0,-0.0889830508475,0.84604519774,32
85,2,200,MsPacman-v0,50.0,170.0,72.4034334764,0.376410745509,26
86,2,200,RoadRunner-v0,0.0,200.0,117.796610169,0.531073446328,6
87,2,200,Frostbite-v0,0.0,50.0,9.28571428571,0.232007469655,49
88,2,200,Hero-v0,0.0,0.0,0.0,0.0,6
89,2,200,Alien-v0,0.0,210.0,104.273858921,0.798361576073,42
90,2,200,TimePilot-v0,0.0,200.0,3.68852459016,0.0291438979964,49
91,3,200,Alien-v0,0.0,140.0,111.120689655,0.791774180937,40
92,3,200,RoadRunner-v0,0.0,300.0,122.175732218,0.603336949223,49
93,3,200,MsPacman-v0,40.0,160.0,68.9211618257,0.520823728293,10
94,3,200,Skiing-v0,-1052.0,-949.0,-1000.57692308,0.825834683,39
95,3,200,DoubleDunk-v0,-2.0,2.0,-0.0672268907563,0.855275443511,32
96,3,200,Frostbite-v0,0.0,50.0,13.164556962,0.327051101735,49
97,3,200,TimePilot-v0,0.0,200.0,7.42358078603,0.0582241630277,9
98,3,200,WizardOfWor-v0,0.0,0.0,0.0,0.0,6
99,3,200,FishingDerby-v0,-6.0,0.0,-5.94893617021,0.00756501182033,4
100,3,200,RoadRunner-v0,0.0,300.0,68.669527897,0.339108779738,49
101,3,200,Alien-v0,0.0,210.0,101.548117155,0.797131745926,40
102,3,200,TimePilot-v0,0.0,200.0,17.094017094,0.148148148148,9
103,3,200,WizardOfWor-v0,0.0,100.0,1.31578947368,0.0116959064327,44
104,3,200,MsPacman-v0,20.0,160.0,73.5744680851,0.707946157186,10
105,3,200,FishingDerby-v0,-6.0,-4.0,-5.98253275109,0.00776322173702,10
106,3,200,Skiing-v0,-1050.0,-955.0,-999.90990991,0.841452200123,81
107,3,200,DoubleDunk-v0,-2.0,2.0,-0.0355555555556,0.869135802469,32
108,3,200,Frostbite-v0,0.0,80.0,13.4061135371,0.295366327026,47
109,3,200,RoadRunner-v0,0.0,200.0,69.8689956332,0.314410480349,6
110,3,200,MsPacman-v0,50.0,160.0,78.7878787879,0.438577033618,10
111,3,200,Skiing-v0,-1052.0,-949.0,-999.050632911,0.842165828207,40
112,3,200,FishingDerby-v0,-6.0,-6.0,-6.0,0.0,6
113,3,200,Frostbite-v0,0.0,80.0,17.0212765957,0.374468085106,47
114,3,200,Alien-v0,0.0,210.0,86.7510548523,0.649012972903,40
