tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,scoreDoubleDunk-v0,scoreFishingDerby-v0,scoreFreeway-v0,scoreFrostbite-v0,scoreGravitar-v0,scoreHero-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visDoubleDunk-v0,visFishingDerby-v0,visFreeway-v0,visFrostbite-v0,visGravitar-v0,visHero-v0,visTotal
60,12,1000,4209,140.0,133.0,1520.0,5.333333333333333,5533.333333333333,0.0,-43.8,6239.566666666667,40.0,-1.0666666666666667,-98.86666666666666,0.0,157.33333333333334,0.0,1513.3333333333333,0.0012797619047619049,0.001636904761904762,0.0010416666666666667,0.001375,0.0012797619047619049,0.0010416666666666667,0.0012797619047619049,0.001375,0.0012797619047619049,0.001375,0.0013392857142857143,0.0012797619047619049,0.0012797619047619049,0.001636904761904762,0.0012797619047619049,0.0030952380952380953
60,12,1000,830,105.0,218.0,1520.0,0.3333333333333333,1566.6666666666667,0.0,-40.06666666666667,192.0,296.6666666666667,-0.8666666666666667,-99.0,0.0,0.0,0.0,0.0,0.0015178571428571428,0.0029464285714285716,0.0013392857142857143,0.0016,0.0022916666666666667,0.0013095238095238095,0.0013095238095238095,0.0013,0.0015178571428571428,0.002475,0.0013095238095238095,0.0013095238095238095,0.0013095238095238095,0.0029464285714285716,0.0013392857142857143,0.005208333333333333
60,12,1000,372,0.0,239.66666666666666,1556.6666666666667,0.0,0.0,0.0,-41.63333333333333,7442.4,20.0,-0.5333333333333333,-99.0,0.0,173.0,0.0,0.0,0.0020535714285714285,0.0024107142857142856,0.002232142857142857,0.002025,0.0018154761904761905,0.0013988095238095237,0.001636904761904762,0.002025,0.0020535714285714285,0.002025,0.002172619047619048,0.0018154761904761905,0.0020535714285714285,0.0024107142857142856,0.0020535714285714285,0.004375
60,12,1000,1703,30.0,149.33333333333334,1520.0,1.3333333333333333,0.0,0.0,-22.1,2268.4,1100.0,-0.7333333333333333,-99.0,0.0,0.0,16.666666666666668,3370.0,0.0005059523809523809,0.0035416666666666665,0.0016666666666666668,0.00185,0.0034523809523809524,0.0005059523809523809,0.000625,0.00295,0.0005059523809523809,0.00295,0.000625,0.0005059523809523809,0.0006547619047619047,0.0035416666666666665,0.0019642857142857144,0.006517857142857143
60,12,1000,10265,30.0,126.33333333333333,18280.0,0.0,5566.666666666667,0.03333333333333333,-23.9,6816.866666666667,843.3333333333334,-0.9333333333333333,-99.0,21.633333333333333,0.0,0.0,0.0,0.000744047619047619,0.002886904761904762,0.002202380952380952,0.001775,0.0023511904761904763,0.000744047619047619,0.000744047619047619,0.002425,0.0009821428571428572,0.002425,0.0015476190476190477,0.0009821428571428572,0.000744047619047619,0.002886904761904762,0.002202380952380952,0.005178571428571428
120,24,2000,1703,30.0,156.0,1560.0,1.6666666666666667,0.0,0.0,-23.166666666666668,2364.0666666666666,1100.0,-0.8,-99.0,0.0,0.0,16.666666666666668,3370.0,0.0005059523809523809,0.0035416666666666665,0.0016666666666666668,0.00185,0.0034523809523809524,0.0005059523809523809,0.000625,0.00295,0.0005059523809523809,0.00295,0.000625,0.0005059523809523809,0.0006547619047619047,0.0035416666666666665,0.0019642857142857144,0.006517857142857143
120,24,2000,17983,30.0,336.6666666666667,1560.0,0.3333333333333333,0.0,0.0,5.166666666666667,3260.9,840.0,-0.5333333333333333,-99.0,1.3,0.0,0.0,0.0,0.003273809523809524,0.03339285714285714,0.003511904761904762,0.007075,0.018720238095238095,0.0027380952380952383,0.003720238095238095,0.0216,0.002976190476190476,0.007625,0.003928571428571429,0.002857142857142857,0.002857142857142857,0.005089285714285715,0.0028273809523809523,0.054910714285714285
120,24,2000,3529,2.0,138.0,1500.0,0.0,2000.0,0.0,-24.966666666666665,198.46666666666667,503.3333333333333,-0.4,-99.0,21.566666666666666,0.0,8.333333333333334,0.0,0.0003869047619047619,0.0007142857142857143,0.00014880952380952382,0.0036,0.0007142857142857143,0.00014880952380952382,0.00014880952380952382,0.003925,0.00014880952380952382,0.003925,0.00014880952380952382,0.00014880952380952382,0.00014880952380952382,0.004613095238095238,0.00014880952380952382,0.008095238095238095
120,24,2000,15911,2.0,130.0,1560.0,2.6666666666666665,1766.6666666666667,0.0,-24.8,340.0,500.0,-0.8,-99.0,21.4,0.0,8.333333333333334,0.0,0.002529761904761905,0.007559523809523809,0.004761904761904762,0.004975,0.00931547619047619,0.0017857142857142857,0.0023511904761904763,0.00975,0.0026785714285714286,0.00605,0.0030952380952380953,0.0017857142857142857,0.0020833333333333333,0.011488095238095238,0.0033928571428571428,0.02086309523809524
120,24,2000,3940,2.0,146.66666666666666,1520.0,0.0,2133.3333333333335,0.0,-22.866666666666667,4514.533333333334,506.6666666666667,-1.2666666666666666,-94.66666666666667,21.533333333333335,0.0,0.0,0.0,0.0019047619047619048,0.0062202380952380955,0.0027976190476190475,0.0051,0.0062202380952380955,0.0011904761904761906,0.0020833333333333333,0.0052,0.0019940476190476192,0.0051,0.0032142857142857142,0.0019047619047619048,0.002113095238095238,0.003005952380952381,0.0013988095238095237,0.01107142857142857
