tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,scoreDoubleDunk-v0,scoreFishingDerby-v0,scoreFreeway-v0,scoreFrostbite-v0,scoreGravitar-v0,scoreHero-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visDoubleDunk-v0,visFishingDerby-v0,visFreeway-v0,visFrostbite-v0,visGravitar-v0,visHero-v0,visTotal
500,11,2000,60453,32.666666666666664,264.6666666666667,1516.6666666666667,6.0,2566.6666666666665,53.833333333333336,0.3,211.06666666666666,706.6666666666666,-0.6666666666666666,-99.0,0.0,0.6666666666666666,3.3333333333333335,0.0,0.0030952380952380953,0.01875,0.003244047619047619,0.003325,0.007410714285714286,0.0028273809523809523,0.0027678571428571427,0.0036,0.004107142857142857,0.0082,0.0035714285714285713,0.0028273809523809523,0.003363095238095238,0.0175,0.0026488095238095238,0.03630952380952381
500,11,2000,87140,274.3333333333333,489.3333333333333,1590.0,1.6666666666666667,8400.0,74.0,-5.833333333333333,5151.833333333333,590.0,-1.1333333333333333,-97.53333333333333,0.0,153.33333333333334,0.0,0.0,0.004523809523809524,0.05136904761904762,0.010714285714285714,0.00395,0.02369047619047619,0.003601190476190476,0.0027976190476190475,0.02055,0.0032142857142857142,0.01225,0.0016666666666666668,0.0045535714285714285,0.0016666666666666668,0.03139880952380952,0.0030952380952380953,0.07880952380952382
500,11,2000,60970,34.333333333333336,273.6666666666667,1540.0,65.0,2766.6666666666665,44.2,-3.3666666666666667,6147.9,716.6666666666666,-0.8666666666666667,-99.0,0.0,1.3333333333333333,16.666666666666668,0.0,0.002619047619047619,0.020803571428571428,0.003125,0.002625,0.00919642857142857,0.002172619047619048,0.002261904761904762,0.018975,0.0027976190476190475,0.014825,0.003125,0.0024107142857142856,0.002172619047619048,0.026875,0.0022916666666666667,0.046607142857142854
500,11,2000,45919,190.0,303.0,1576.6666666666667,0.0,2333.3333333333335,53.733333333333334,-8.7,4434.4,150.0,-1.2,-95.26666666666667,0.0,0.0,0.0,0.0,0.0016666666666666668,0.01386904761904762,0.0011607142857142858,0.002425,0.009642857142857142,0.0008333333333333334,0.0009226190476190477,0.00985,0.0009821428571428572,0.010825,0.0018452380952380953,0.0009821428571428572,0.0009821428571428572,0.009642857142857142,0.0017857142857142857,0.025625
500,11,2000,59881,29.0,548.6666666666666,1540.0,8.0,5333.333333333333,0.0,-52.06666666666667,2944.6,543.3333333333334,-9.066666666666666,-99.0,0.0,2.6666666666666665,15.0,0.0,0.001101190476190476,0.029523809523809525,0.0005654761904761905,0.002525,0.016398809523809524,0.0005357142857142857,0.0004761904761904762,0.018975,0.0006547619047619047,0.0137,0.001101190476190476,0.0005357142857142857,0.0005357142857142857,0.01705357142857143,0.0005357142857142857,0.04770833333333333
1000,22,10000,144635,224.33333333333334,254.66666666666666,14486.666666666666,2.6666666666666665,3366.6666666666665,68.46666666666667,-16.833333333333332,4815.933333333333,950.0,-1.6,-90.8,17.566666666666666,114.33333333333333,0.0,1.6666666666666667,0.0064285714285714285,0.04339285714285714,0.012172619047619048,0.00885,0.03401785714285714,0.005863095238095238,0.004642857142857143,0.02145,0.0054761904761904765,0.01645,0.007410714285714286,0.005803571428571429,0.004136904761904762,0.013958333333333333,0.004642857142857143,0.07193452380952381
1000,22,10000,155280,74.33333333333333,510.3333333333333,1523.3333333333333,7.0,4400.0,0.0,-25.9,4971.866666666667,63.333333333333336,-0.6666666666666666,-99.0,0.0,86.33333333333333,0.0,2050.0,0.005208333333333333,0.029523809523809525,0.00925595238095238,0.00835,0.026398809523809522,0.004821428571428571,0.005327380952380952,0.0214,0.003005952380952381,0.0165,0.005327380952380952,0.004821428571428571,0.003005952380952381,0.020029761904761904,0.005029761904761905,0.05732142857142857
1000,22,10000,146730,281.0,1191.6666666666667,42996.666666666664,0.3333333333333333,8433.333333333334,29.666666666666668,-40.733333333333334,3401.133333333333,700.0,-19.6,-99.0,0.0,2.6666666666666665,185.0,0.0,0.003660714285714286,0.038035714285714284,0.004434523809523809,0.0043,0.03270833333333333,0.003630952380952381,0.0006845238095238096,0.02185,0.0020833333333333333,0.022325,0.004672619047619048,0.003720238095238095,0.001875,0.02806547619047619,0.0020535714285714285,0.059613095238095236
1000,22,10000,100399,253.0,786.6666666666666,1500.0,2.0,6766.666666666667,0.0,-42.2,3164.3,36.666666666666664,-18.8,-97.6,0.0,5.333333333333333,30.0,2403.5,0.0005059523809523809,0.001101190476190476,0.000744047619047619,0.000625,0.001101190476190476,0.0005059523809523809,0.000744047619047619,0.000925,0.0005059523809523809,0.000925,0.001101190476190476,0.0005059523809523809,0.0005059523809523809,0.001101190476190476,0.000744047619047619,0.0019940476190476192
1000,22,10000,110266,286.3333333333333,486.6666666666667,43456.666666666664,0.3333333333333333,8566.666666666666,30.133333333333333,-40.166666666666664,5846.2,626.6666666666666,-1.0,-99.0,0.0,199.66666666666666,0.0,0.0,0.0038392857142857144,0.056577380952380955,0.004613095238095238,0.00445,0.02982142857142857,0.0038095238095238095,0.0009523809523809524,0.0349,0.0052976190476190475,0.0181,0.007946428571428571,0.0047321428571428575,0.004345238095238096,0.03657738095238095,0.004047619047619047,0.09261904761904761
