tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,scoreDoubleDunk-v0,scoreFishingDerby-v0,scoreFreeway-v0,scoreFrostbite-v0,scoreGravitar-v0,scoreHero-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visDoubleDunk-v0,visFishingDerby-v0,visFreeway-v0,visFrostbite-v0,visGravitar-v0,visHero-v0,visTotal
60,12,1000,10894,5.0,155.33333333333334,1580.0,0.3333333333333333,1966.6666666666667,0.06666666666666667,-5.966666666666667,3830.4666666666667,503.3333333333333,-1.0666666666666667,-99.0,21.466666666666665,0.0,16.666666666666668,0.0,0.0014583333333333334,0.0023511904761904763,0.0012797619047619049,0.001775,0.0023511904761904763,0.0012797619047619049,0.0012797619047619049,0.001975,0.0012797619047619049,0.001975,0.0012797619047619049,0.0012797619047619049,0.0012797619047619049,0.0023511904761904763,0.0012797619047619049,0.004226190476190476
60,12,1000,3947,2.0,609.6666666666666,1500.0,0.6666666666666666,0.0,0.0,-24.933333333333334,3128.5333333333333,500.0,-0.6,-99.0,22.6,0.0,0.0,0.0,0.0005952380952380953,0.007470238095238095,0.0018154761904761905,0.005175,0.003511904761904762,0.0004761904761904762,0.0009226190476190477,0.0063,0.0005952380952380953,0.0063,0.0013392857142857143,0.0008928571428571428,0.003273809523809524,0.007470238095238095,0.0015476190476190477,0.013422619047619048
60,12,1000,15514,3.0,199.0,1500.0,1.3333333333333333,0.0,0.0,-19.733333333333334,623.8666666666667,503.3333333333333,-0.9333333333333333,-96.93333333333334,21.566666666666666,181.66666666666666,150.0,0.0,0.0019940476190476192,0.01949404761904762,0.004523809523809524,0.003225,0.008511904761904762,0.0018452380952380953,0.002261904761904762,0.014825,0.002202380952380952,0.00545,0.0031845238095238094,0.0019940476190476192,0.0029464285714285716,0.01863095238095238,0.003630952380952381,0.03544642857142857
60,12,1000,14918,2.0,294.3333333333333,1520.0,0.6666666666666666,1833.3333333333333,0.0,-21.2,190.16666666666666,506.6666666666667,-0.5333333333333333,-88.86666666666666,21.4,0.0,15.0,0.0,0.001755952380952381,0.02363095238095238,0.003005952380952381,0.013675,0.015952380952380954,0.0015178571428571428,0.0020833333333333333,0.009125,0.0015476190476190477,0.010075,0.003601190476190476,0.0015178571428571428,0.0016666666666666668,0.023125,0.0034821428571428573,0.039732142857142855
60,12,1000,16148,1.6666666666666667,222.66666666666666,1570.0,0.3333333333333333,5233.333333333333,0.0,-17.0,181.5,43.333333333333336,-0.6,-97.66666666666667,0.0,178.66666666666666,8.333333333333334,0.0,0.0020238095238095236,0.007767857142857143,0.002380952380952381,0.002,0.0032142857142857142,0.0020238095238095236,0.0020238095238095236,0.002675,0.0020238095238095236,0.002675,0.002380952380952381,0.0020238095238095236,0.0020238095238095236,0.0032142857142857142,0.002380952380952381,0.010089285714285714
120,24,2000,18754,3.0,502.3333333333333,1790.0,0.0,2166.6666666666665,0.0,-22.533333333333335,2601.6,503.3333333333333,-0.26666666666666666,-99.0,21.766666666666666,0.0,146.66666666666666,0.0,0.0027976190476190475,0.024047619047619047,0.007410714285714286,0.007975,0.015297619047619048,0.0024107142857142856,0.003125,0.011775,0.0030654761904761905,0.010475,0.004910714285714286,0.002886904761904762,0.003005952380952381,0.014404761904761905,0.0033928571428571428,0.03633928571428571
120,24,2000,1703,3.6666666666666665,203.66666666666666,1500.0,0.0,8533.333333333334,0.0,-5.6,194.0,60.0,-0.5333333333333333,-97.86666666666666,0.0,162.66666666666666,0.0,0.0,0.0019345238095238096,0.0027678571428571427,0.0026488095238095238,0.002325,0.0027678571428571427,0.0019345238095238096,0.0019345238095238096,0.002325,0.0024404761904761904,0.002325,0.0026488095238095238,0.0019345238095238096,0.0019345238095238096,0.0027678571428571427,0.002142857142857143,0.004851190476190476
120,24,2000,29031,239.33333333333334,307.0,1500.0,6.0,3833.3333333333335,0.0,-2.3,308.76666666666665,183.33333333333334,-1.2,-99.0,21.666666666666668,24.666666666666668,0.0,0.0,0.0034821428571428573,0.019107142857142857,0.004702380952380953,0.006325,0.02214285714285714,0.0019642857142857144,0.0020535714285714285,0.014075,0.005208333333333333,0.0065,0.005029761904761905,0.0030952380952380953,0.00375,0.006636904761904762,0.0031845238095238094,0.04083333333333333
120,24,2000,10788,2.0,124.33333333333333,1560.0,2.6666666666666665,1900.0,0.0,-24.033333333333335,4976.866666666667,503.3333333333333,-1.2,-98.93333333333334,21.733333333333334,160.0,0.0,0.0,0.0004166666666666667,0.002113095238095238,0.0025595238095238097,0.001775,0.0020238095238095236,0.0007142857142857143,0.0004166666666666667,0.00275,0.0004166666666666667,0.001775,0.0007142857142857143,0.0004166666666666667,0.0007142857142857143,0.002113095238095238,0.0023511904761904763,0.005208333333333333
120,24,2000,29625,30.0,232.66666666666666,4380.0,0.0,766.6666666666666,30.0,-43.86666666666667,201.26666666666668,403.3333333333333,-0.9333333333333333,-98.93333333333334,0.0,0.0,0.0,2929.6666666666665,0.001755952380952381,0.015982142857142858,0.008482142857142856,0.00475,0.01369047619047619,0.0027976190476190475,0.004613095238095238,0.010925,0.001755952380952381,0.0095,0.0041964285714285714,0.004136904761904762,0.004404761904761904,0.006339285714285714,0.005416666666666667,0.02848214285714286
