tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visTotal
50,13.638872883386082,12223,100.0,1533.0,21280.0,14.0,11100.0,88.5,-22.3,8293.8,0.002589285714285714,0.019464285714285715,0.015982142857142858,0.009925,0.009404761904761905,0.008035714285714285,0.00830357142857143,0.013675,0.035863095238095236
50,13.638873105777634,10723,168.0,1241.0,34920.0,4.0,4000.0,55.6,-7.7,5815.1,0.00919642857142857,0.00919642857142857,0.0035416666666666665,0.0077,0.00919642857142857,0.005357142857142857,0.005357142857142857,0.0045,0.01669642857142857
50,13.638873328235414,8131,248.0,1325.0,22910.0,6.0,3300.0,62.7,-13.7,8842.8,0.006369047619047619,0.019017857142857142,0.017916666666666668,0.00845,0.01005952380952381,0.0073511904761904764,0.014642857142857143,0.00845,0.031160714285714285
50,13.638873542149861,10200,257.0,775.0,42230.0,16.0,4200.0,42.3,-54.0,7032.6,0.011904761904761904,0.02244047619047619,0.026904761904761904,0.007525,0.01875,0.011904761904761904,0.011904761904761904,0.00695,0.03410714285714286
50,13.638873886002434,12802,204.0,1209.0,1500.0,15.0,12100.0,88.4,-10.2,8500.7,0.007291666666666667,0.017827380952380952,0.008392857142857143,0.0093,0.007291666666666667,0.007291666666666667,0.0011904761904761906,0.000975,0.02654761904761905
100,28.580633984009424,26473,272.0,2003.0,37060.0,5.0,4900.0,0.0,-2.7,9622.0,0.017916666666666668,0.03880952380952381,0.03526785714285714,0.012975,0.02988095238095238,0.009791666666666667,0.016101190476190477,0.015375,0.061964285714285715
100,28.580634209513665,26591,301.0,2161.0,20790.0,3.0,4700.0,76.5,0.6,8278.6,0.017797619047619048,0.03711309523809524,0.021904761904761906,0.0101,0.021964285714285714,0.00824404761904762,0.020654761904761905,0.0141,0.05431547619047619
100,28.580634428262712,26780,257.0,2099.0,25100.0,8.0,3600.0,78.3,3.0,9414.7,0.017827380952380952,0.033511904761904764,0.03467261904761905,0.011175,0.02726190476190476,0.01648809523809524,0.015982142857142858,0.01525,0.056428571428571425
100,28.5806346398592,24311,204.0,1935.0,25780.0,18.0,4200.0,88.7,-37.6,9583.0,0.021041666666666667,0.03279761904761905,0.03113095238095238,0.010175,0.027767857142857143,0.01630952380952381,0.019464285714285715,0.0142,0.049970238095238095
100,28.580634854171013,26252,239.0,1695.0,23910.0,12.0,5900.0,82.5,-21.2,8697.1,0.015029761904761905,0.02074404761904762,0.017261904761904763,0.0098,0.009285714285714286,0.007916666666666667,0.008482142857142856,0.0138,0.036071428571428574
150,42.88029867874251,33231,257.0,2066.0,18090.0,9.0,4500.0,80.6,-0.2,7626.5,0.018035714285714287,0.040595238095238094,0.029166666666666667,0.0104,0.02642857142857143,0.01660714285714286,0.01619047619047619,0.014625,0.05663690476190476
150,42.88029890086916,37797,255.0,2303.0,13040.0,25.0,5900.0,76.5,-0.1,9825.3,0.019196428571428573,0.034791666666666665,0.029464285714285714,0.010675,0.026726190476190476,0.016964285714285713,0.016517857142857143,0.0149,0.05089285714285714
150,42.880299116041925,36076,269.0,1940.0,20030.0,9.0,4800.0,75.9,1.4,8719.4,0.018125,0.024375,0.02494047619047619,0.010525,0.02794642857142857,0.016785714285714286,0.015446428571428571,0.014775,0.05071428571428571
150,42.88029932823446,40192,289.0,1318.0,24360.0,12.0,4900.0,82.4,-2.7,9239.9,0.01904761904761905,0.0375,0.03571428571428571,0.01125,0.028839285714285713,0.017619047619047618,0.01720238095238095,0.015525,0.0593452380952381
150,42.880299541155495,39686,280.0,1972.0,8520.0,10.0,4500.0,83.2,1.0,8589.4,0.018154761904761906,0.037321428571428575,0.037142857142857144,0.010525,0.026577380952380953,0.016755952380952382,0.016339285714285716,0.014725,0.05782738095238095
200,57.29703468865819,52689,260.0,1966.0,18570.0,16.0,5300.0,81.8,-0.4,8866.6,0.019315476190476192,0.04047619047619048,0.03654761904761905,0.011475,0.025238095238095237,0.017886904761904764,0.016636904761904762,0.01575,0.0630952380952381
200,57.29703491469224,48400,286.0,1719.0,28240.0,10.0,5200.0,76.3,-0.7,8700.7,0.019375,0.03824404761904762,0.030446428571428572,0.011575,0.029166666666666667,0.01800595238095238,0.01806547619047619,0.01585,0.05779761904761905
200,57.29703513165315,50070,285.0,1976.0,18450.0,6.0,5500.0,75.5,3.6,7421.1,0.01925595238095238,0.03369047619047619,0.036458333333333336,0.011425,0.02517857142857143,0.017827380952380952,0.01657738095238095,0.0157,0.05910714285714286
200,57.297035345832505,52847,238.0,2072.0,24330.0,11.0,5100.0,85.1,-5.6,9415.2,0.018541666666666668,0.03931547619047619,0.02967261904761905,0.010825,0.02693452380952381,0.01711309523809524,0.01586309523809524,0.01505,0.056220238095238094
200,57.29703556067414,54214,291.0,2193.0,5550.0,12.0,3500.0,82.4,1.5,7009.5,0.019672619047619046,0.03889880952380952,0.03461309523809524,0.011775,0.02806547619047619,0.01800595238095238,0.017827380952380952,0.01515,0.055982142857142855
250,71.30677068458662,66275,297.0,2409.0,15590.0,12.0,6100.0,83.6,0.2,9189.4,0.018482142857142857,0.03988095238095238,0.030208333333333334,0.010775,0.026904761904761904,0.017023809523809524,0.01720238095238095,0.01495,0.05625
250,71.30677090777291,65383,292.0,2058.0,14100.0,14.0,4800.0,87.3,-0.3,7409.3,0.02,0.03916666666666667,0.03720238095238095,0.01205,0.02836309523809524,0.017738095238095237,0.016458333333333332,0.015575,0.06104166666666667
250,71.30677112427023,67333,257.0,1791.0,23130.0,13.0,4600.0,79.0,0.9,11259.1,0.018363095238095237,0.03401785714285714,0.030119047619047618,0.0116,0.027410714285714285,0.016904761904761905,0.017172619047619048,0.014825,0.05455357142857143
250,71.30677133619785,61888,286.0,1649.0,24320.0,7.0,5100.0,83.8,-4.3,8973.2,0.018482142857142857,0.029791666666666668,0.03782738095238095,0.011725,0.026875,0.017083333333333332,0.016636904761904762,0.015,0.05848214285714286
250,71.30677155196666,68686,259.0,1738.0,41520.0,17.0,2300.0,0.0,0.1,8336.2,0.01949404761904762,0.03785714285714286,0.03678571428571428,0.0143,0.03244047619047619,0.011369047619047619,0.017648809523809525,0.016725,0.06440476190476191
300,86.73662159668075,65383,284.0,2102.0,23810.0,10.0,4000.0,74.5,-1.4,11631.6,0.02,0.03425595238095238,0.03333333333333333,0.01205,0.02836309523809524,0.017738095238095237,0.017291666666666667,0.015575,0.05592261904761905
300,86.73662181999948,82382,295.0,2110.0,38100.0,20.0,2800.0,79.8,4.5,8693.9,0.021101190476190475,0.043363095238095235,0.03550595238095238,0.01575,0.033035714285714286,0.01863095238095238,0.01982142857142857,0.01815,0.07080357142857142
300,86.73662203358279,81884,291.0,1652.0,10730.0,11.0,4700.0,80.7,-0.3,7857.8,0.01961309523809524,0.042886904761904765,0.03461309523809524,0.0117,0.02875,0.018214285714285714,0.017767857142857144,0.015925,0.05988095238095238
300,86.73662224743101,54746,246.0,2388.0,19200.0,15.0,4600.0,86.0,-0.6,10839.5,0.019226190476190477,0.03872023809523809,0.030892857142857142,0.0114,0.02336309523809524,0.017797619047619048,0.017916666666666668,0.0159,0.05589285714285714
300,86.73662246359719,82916,287.0,2362.0,20930.0,11.0,4600.0,82.6,0.1,6874.2,0.019345238095238096,0.03818452380952381,0.0368452380952381,0.0135,0.028511904761904763,0.01794642857142857,0.01842261904761905,0.0168,0.06547619047619048
