tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.35128199650181663,Bowling-v0,0.0,1,0.060645161290322616,6,291,490,402
2,0.66597674522135,Atlantis-v0/Bowling-v0,0.0,0.12250000000000001,0.0011256218905472638,6,454,534,438
3,1.00942807091607,Atlantis-v0/Bowling-v0/Centipede-v0,0.0,0.05614783226723524,0.000507709345863947,5,598,547,451
4,1.5979238429334428,Atlantis-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.0,0.0,5,1226,557,441
5,2.0139966766701805,Atlantis-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.07320540156361051,0.00034005547255623397,11,642,569,454
6,2.4194593754079605,Alien-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.39999999999999997,0.00989011277005062,5,1147,554,446
7,2.919938285615709,Alien-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.5454545454545454,0.017399131898384518,6,1289,560,443
8,3.2182618670331107,Alien-v0/Asteroids-v0/BattleZone-v0/Boxing-v0,0.0,0.3611111111111111,0.014075887392900877,6,1289,570,440
9,3.5943377184205585,Alien-v0/Asteroids-v0/BankHeist-v0/BattleZone-v0,0.0,0.13953488372093023,0.00287868971375075,5,2716,582,444
10,3.9001606566376155,Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0,0.0,0.11864406779661017,0.0012865170605718824,21,2368,589,445
11,4.435629675123427,Asteroids-v0/Atlantis-v0/BankHeist-v0/Bowling-v0,0.0,0.12218963831867058,0.0004062996264934835,21,2368,581,446
12,4.916442349818018,Atlantis-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.22222222222222224,0.0015539718886706621,14,3310,571,445
13,5.280097710423999,Asteroids-v0/Atlantis-v0/Bowling-v0/Centipede-v0,0.0,0.17385257301808069,0.002108963160372295,10,2759,566,435
14,5.732576458586587,Asteroids-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.11764705882352942,0.0017743955473134582,19,3860,572,442
15,6.043144860863686,Alien-v0/Asteroids-v0/BankHeist-v0/Centipede-v0,0.0,0.23529411764705885,0.004825555822991837,6,3820,572,433
16,6.486113922198613,Alien-v0/Asteroids-v0/BankHeist-v0/Bowling-v0,0.0,0.11764705882352942,0.0018246850766628264,9,4048,586,447
17,7.006345280342632,Alien-v0/BankHeist-v0/BattleZone-v0/Bowling-v0,0.0,0.29411764705882354,0.008550719929065096,25,3881,582,453
18,7.404804625180033,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.29213483146067415,0.01048139528188079,21,5011,575,443
19,7.804726401633687,Asteroids-v0/BattleZone-v0/Bowling-v0/Centipede-v0,0.0,0.27573992785431783,0.014259893290487735,15,5040,567,427
20,8.04234806239605,Asteroids-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.11058020477815698,0.011091474217402838,23,4152,575,438
21,8.421103240847588,Asteroids-v0/Atlantis-v0/Bowling-v0/Centipede-v0,0.0,0.11909262759924386,0.011244867208374473,23,4152,576,442
22,8.909247742361492,Atlantis-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.22222222222222224,0.010254833029804733,19,5470,579,440
23,9.38906951824824,Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0,0.0,0.3066666666666667,0.014037335815492815,20,5869,579,443
24,9.926923586659962,BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.2608695652173913,0.027653193094978323,27,6598,575,431
25,10.309560407201449,Asteroids-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.2371134020618557,0.02845077980361686,20,6469,578,435
26,10.676411759588454,Asteroids-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.5360824742268041,0.059869289358462405,32,7086,601,426
27,11.030572689771653,Asteroids-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.4548022598870056,0.044763309647588796,15,7115,621,451
28,11.30868806746271,Asteroids-v0/Atlantis-v0/BankHeist-v0/Centipede-v0,0.0,0.22577610536218248,0.021213759963951896,16,7509,608,447
29,11.646057799922096,Atlantis-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.2283365966941396,0.023896819501896982,15,7492,584,442
30,12.049752229717043,Atlantis-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.437860513896172,0.02407560551686512,25,8110,576,426
31,12.56998779906167,Atlantis-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.4404761904761905,0.025014541824060002,34,8373,585,436
32,13.005179019040531,Asteroids-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.5887096774193549,0.0633652851056144,104,8675,584,433
33,13.395330471263991,Asteroids-v0/Atlantis-v0/BattleZone-v0/Bowling-v0,0.0,0.40740740740740744,0.031425487322966336,47,8407,574,435
34,13.784505914515918,Asteroids-v0/Atlantis-v0/BankHeist-v0/Bowling-v0,0.0,0.40740740740740744,0.027630067820408447,20,8284,580,428
35,14.134052295618588,Asteroids-v0/Atlantis-v0/BankHeist-v0/Boxing-v0,0.0,0.34948096885813146,0.03504728008613453,25,8110,593,432
36,14.48721000081963,Atlantis-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.46182313985196727,0.046165167667445196,25,8110,601,437
37,14.938108334872458,BankHeist-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.4583333333333333,0.08212295243286961,39,9042,602,433
38,15.337600850860278,Alien-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.5762693573625425,0.15493695641440366,24,9736,587,423
39,15.795801682339775,Alien-v0/BattleZone-v0/Bowling-v0/Centipede-v0,0.0,0.4627726124181243,0.12319058715778355,101,10413,590,427
40,16.206442008746993,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.3055555555555555,0.08882406510277376,62,10696,596,426
41,16.539799170891445,Alien-v0/Asteroids-v0/Atlantis-v0/BattleZone-v0,0.0,0.3333333333333333,0.05577688278511611,39,10735,617,435
42,16.97668413374159,Asteroids-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.6944444444444445,0.07112734568313495,30,10577,611,439
43,17.30828548444642,Asteroids-v0/Atlantis-v0/Boxing-v0/Centipede-v0,0.0,0.5527987503254361,0.09289416616044031,30,10577,613,430
44,17.68628894633717,Atlantis-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.4327767686067634,0.06435213297904246,20,8284,621,446
45,18.0526988897721,Asteroids-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.39761322329164855,0.08599407990828431,113,10845,612,433
46,18.48128795550929,Asteroids-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.3979573184663894,0.0748389305409074,116,10845,614,435
47,18.8417951561345,Asteroids-v0/Atlantis-v0/BankHeist-v0/Bowling-v0,0.0,0.43739279588336194,0.07132190948740326,204,12305,611,432
48,19.208637298875384,Alien-v0/Asteroids-v0/Atlantis-v0/Bowling-v0,0.0,0.44382022471910104,0.09533759639893162,39,12300,626,436
49,19.614747867054408,Alien-v0/Atlantis-v0/BankHeist-v0/Bowling-v0,0.0,0.38461538461538464,0.09543721135540564,87,10292,631,440
50,19.939979211158224,Alien-v0/Atlantis-v0/BankHeist-v0/Centipede-v0,0.0,0.31718061674008813,0.09303908387490399,20,8284,632,431
51,20.400221026539803,Alien-v0/Asteroids-v0/BankHeist-v0/Centipede-v0,0.0,0.33333333333333337,0.11019368419106931,98,13067,633,447
52,20.83788585788674,Asteroids-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.4129692832764505,0.11045738641041723,98,13067,614,434
53,21.201543790565598,Alien-v0/Asteroids-v0/Bowling-v0/Centipede-v0,0.0,0.3696682464454976,0.11875923328368627,185,12839,622,429
54,21.562210445337826,Alien-v0/Asteroids-v0/Atlantis-v0/Bowling-v0,0.0,0.49291075896580483,0.12227307907714983,185,12839,620,430
55,22.02992120504379,Alien-v0/Atlantis-v0/Bowling-v0/Boxing-v0,0.0,0.532459797498511,0.1810996844201823,185,12839,623,432
56,22.598052595059077,Alien-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.42272727272727273,0.15839294780194624,65,14846,635,432
57,23.163169878323874,Atlantis-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.6700416914830256,0.22413678359018774,83,15093,631,435
58,23.711456184917026,BankHeist-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.5752526567418522,0.10521123309962435,70,14153,632,435
59,24.2930599581533,BankHeist-v0/BattleZone-v0/Bowling-v0/Centipede-v0,0.0,0.5752526567418522,0.12771202160600814,83,15093,634,432
60,24.72625906288624,BankHeist-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.6153846153846154,0.1567148287008397,70,14153,656,445
61,25.24267012967004,Atlantis-v0/BankHeist-v0/Bowling-v0/Boxing-v0,0.0,0.7315634218289085,0.1650611412761626,165,15846,642,442
62,25.67642884519365,Asteroids-v0/Atlantis-v0/Bowling-v0/Boxing-v0,0.0,0.7286135693215339,0.23852834584423058,104,15625,624,430
63,26.046103187004725,Asteroids-v0/Atlantis-v0/Boxing-v0/Centipede-v0,0.0,0.5933987511150758,0.25564129070310393,256,16581,638,428
64,26.689616427885163,Asteroids-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.6151658286352786,0.23475151360162,95,16885,646,434
65,27.231171918312707,Asteroids-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.42643245716609895,0.12608387866474038,165,15846,641,429
66,27.781217625207372,Alien-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.5565217391304347,0.1397286724885475,67,17425,644,435
67,28.292405282126534,Alien-v0/Asteroids-v0/BankHeist-v0/BattleZone-v0,0.0,0.4608695652173913,0.1472084965431623,90,16358,646,437
68,28.662750599715444,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0,0.0,0.49673735725938006,0.15833334274631247,89,16868,637,434
69,29.21652762989203,Alien-v0/Asteroids-v0/Atlantis-v0/BattleZone-v0,0.0,0.5945945945945946,0.21852381632990486,207,18016,644,432
