tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
0,0.03985756582683987,Alien-v0,0.0,280.0,65.45833333333334,6,114
0,0.07484281500180562,Asteroids-v0,90.0,3006.6666666666665,220.96666666666653,6,105
0,0.1123013938135571,Atlantis-v0,1500.0,40766.666666666664,2280.833333333333,6,352
0,0.381905696855651,BankHeist-v0,0.0,20.0,0.2833333333333333,6,196
0,0.5481890093617969,BattleZone-v0,0.0,11000.0,1688.333333333333,6,271
0,0.8710842445823881,Bowling-v0,0.0,55.0,2.2441666666666666,6,81
0,1.0096572203768623,Boxing-v0,-100.0,-4.333333333333333,-46.63499999999999,6,397
0,1.081420804725753,Centipede-v0,157.0,11424.0,2530.8449999999993,6,8
1,1.1142598726352055,Alien-v0,0.0,280.0,68.04655029093931,6,114
1,1.1508738136291503,Asteroids-v0,90.0,3006.6666666666665,232.2776392352454,6,105
1,1.1810270100831985,Atlantis-v0,1500.0,40766.666666666664,2604.9044056525345,6,352
1,1.3615545162889693,BankHeist-v0,0.0,20.0,0.5320033250207814,6,196
1,1.4828606643279394,BattleZone-v0,0.0,12333.333333333334,2180.3823773898594,5,654
1,1.7013680695825153,Bowling-v0,0.0,69.33333333333333,3.257689110556941,11,514
1,1.8028566588958104,Boxing-v0,-100.0,4.666666666666667,-45.14713216957604,5,448
1,1.8564818172984654,Centipede-v0,158.33333333333334,13802.666666666666,2712.024106400666,6,567
2,1.8908287237750159,Alien-v0,0.0,280.0,72.67260579064589,6,114
2,1.9263532541857826,Asteroids-v0,80.0,3006.6666666666665,230.5419450631034,6,105
2,1.9575600470436945,Atlantis-v0,1500.0,48533.333333333336,2844.246473645138,6,980
2,2.12709411766794,BankHeist-v0,0.0,20.0,0.6681514476614699,6,196
2,2.2396676908599007,BattleZone-v0,0.0,14000.0,2345.211581291761,6,799
2,2.4620973236031003,Bowling-v0,0.0,69.33333333333333,2.900519673348181,11,514
2,2.5641518847809897,Boxing-v0,-100.0,4.666666666666667,-46.66221232368225,5,448
2,2.623670162492328,Centipede-v0,160.0,14432.0,3211.276911655534,6,851
3,2.6592804958422978,Alien-v0,0.0,326.6666666666667,76.71817512877112,16,1077
3,2.6910572673214808,Asteroids-v0,100.0,3083.3333333333335,288.21927888153056,11,1026
3,2.7206422640217673,Atlantis-v0,1500.0,48533.333333333336,3910.007358351729,6,980
3,2.895716868771447,BankHeist-v0,0.0,23.333333333333332,0.9345106696100073,5,1112
3,3.013037617471483,BattleZone-v0,0.0,14000.0,2474.613686534218,6,799
3,3.234087617331081,Bowling-v0,0.0,69.33333333333333,3.638704930095659,11,514
3,3.327803046703339,Boxing-v0,-100.0,4.666666666666667,-47.052980132450344,5,448
3,3.375225244760513,Centipede-v0,150.0,15894.666666666666,3038.9028697571766,6,1179
4,3.4169167505370246,Alien-v0,0.0,326.6666666666667,79.88662131519274,16,1077
4,3.4494013693597583,Asteroids-v0,90.0,3083.3333333333335,300.3099017384729,11,1026
4,3.4774547893471186,Atlantis-v0,1500.0,48533.333333333336,3861.1489040060474,6,980
4,3.632917357948091,BankHeist-v0,0.0,53.333333333333336,1.2622826908541196,6,1436
4,3.7252579826778836,BattleZone-v0,0.0,14000.0,2495.086923658352,6,799
4,3.94170726093981,Bowling-v0,0.0,69.33333333333333,4.170823885109599,11,514
4,4.030256801711189,Boxing-v0,-100.0,5.666666666666667,-46.21239606953893,10,1275
4,4.078193535341157,Centipede-v0,155.33333333333334,16741.333333333332,3430.176870748298,6,1182
5,4.11817967262533,Alien-v0,0.0,326.6666666666667,81.27055306427502,16,1077
5,4.149318066438039,Asteroids-v0,100.0,3083.3333333333335,324.08071748878945,11,1026
5,4.180819395184517,Atlantis-v0,1500.0,48533.333333333336,4460.837070254112,6,980
5,4.32063652018706,BankHeist-v0,0.0,90.0,1.711509715994021,5,1604
5,4.4134766433636345,BattleZone-v0,0.0,14000.0,2723.467862481315,6,799
5,4.622900658647219,Bowling-v0,0.0,69.33333333333333,4.103886397608371,11,514
5,4.7025796628660625,Boxing-v0,-100.0,6.666666666666667,-47.541106128550084,6,1287
5,4.755046343803405,Centipede-v0,160.0,16741.333333333332,3567.056053811656,6,1182
6,4.795522494051191,Alien-v0,0.0,326.6666666666667,78.73333333333336,16,1077
6,4.82529585911168,Asteroids-v0,80.0,3530.0,355.9555555555557,15,1838
6,4.850776191221343,Atlantis-v0,1500.0,48533.333333333336,4481.555555555555,6,980
6,5.015001910726229,BankHeist-v0,0.0,90.0,1.8074074074074076,5,1604
6,5.124549066093233,BattleZone-v0,0.0,14000.0,2725.9259259259275,6,799
6,5.325426041881244,Bowling-v0,0.0,97.0,5.40888888888889,6,1975
6,5.405596872766813,Boxing-v0,-100.0,6.666666666666667,-46.21111111111114,6,1287
6,5.4536697914203005,Centipede-v0,160.0,16741.333333333332,3282.60518518519,6,1182
7,5.4893783126937015,Alien-v0,0.0,326.6666666666667,74.6219135802469,16,1077
7,5.52207867635621,Asteroids-v0,90.0,3530.0,327.00617283950623,15,1838
7,5.5528736387358775,Atlantis-v0,1500.0,58766.666666666664,5014.043209876541,6,2143
7,5.697228732175297,BankHeist-v0,0.0,90.0,1.558641975308642,5,1604
7,5.788990490767691,BattleZone-v0,0.0,14000.0,2729.9382716049377,6,799
7,5.984402644501792,Bowling-v0,0.0,97.0,5.378086419753085,6,1975
7,6.057511084742016,Boxing-v0,-100.0,6.666666666666667,-47.582561728395085,6,1287
7,6.105252534813351,Centipede-v0,160.0,16741.333333333332,3329.3456790123514,6,1182
8,6.146930737495422,Alien-v0,0.0,326.6666666666667,79.4186902133922,16,1077
8,6.1798903444740505,Asteroids-v0,100.0,3766.6666666666665,388.38852097130274,11,2461
8,6.204202086064551,Atlantis-v0,1500.0,58766.666666666664,5264.2384105960255,6,2143
8,6.366630413134893,BankHeist-v0,0.0,90.0,2.0088300220750552,5,1604
8,6.4832028140624365,BattleZone-v0,0.0,16666.666666666668,2760.8535688005877,15,2305
8,6.68132339047061,Bowling-v0,0.0,97.0,5.3951434878587206,6,1975
8,6.76237730913692,Boxing-v0,-100.0,6.666666666666667,-47.75570272259017,6,1287
8,6.81354638033443,Centipede-v0,160.0,16741.333333333332,3404.472406181016,6,1182
9,6.847211809357007,Alien-v0,0.0,326.6666666666667,85.92424242424244,16,1077
9,6.876473306682374,Asteroids-v0,90.0,3766.6666666666665,352.44696969696963,11,2461
9,6.906680610047446,Atlantis-v0,1500.0,58766.666666666664,5224.015151515155,6,2143
9,7.028028859893481,BankHeist-v0,0.0,90.0,2.053030303030303,5,1604
9,7.116050742997063,BattleZone-v0,0.0,20333.333333333332,2778.7878787878794,11,2302
9,7.305930478109254,Bowling-v0,0.0,97.0,6.741666666666665,6,1975
