tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0
10,1.9182216797272365,6,-999999,173.33333333333334,2433.3333333333335,0.0,333.3333333333333,-999999,-5.0,180.0
10,1.9182217560211818,22,-999999,160.0,1500.0,0.0,0.0,-999999,-23.666666666666668,165.0
10,1.9182217981417973,29,-999999,220.0,1500.0,0.0,0.0,-999999,-6.0,3340.6666666666665
10,1.9182218367523618,31,-999999,163.33333333333334,1500.0,0.0,0.0,-999999,-26.333333333333332,155.0
10,1.9182218749655617,36,-999999,146.66666666666666,1500.0,0.0,0.0,-999999,-8.0,195.0
10,1.9182219117217594,43,-999999,210.0,1500.0,0.0,-999999,-999999,-24.333333333333332,-999999
10,1.9182219480805927,61,-999999,413.3333333333333,2566.6666666666665,0.0,2333.3333333333335,-999999,-30.0,6833.0
10,1.9182219856977463,65,-999999,163.33333333333334,3500.0,0.0,0.0,-999999,-21.666666666666668,6077.666666666667
10,1.9182220233148999,67,-999999,110.0,1700.0,0.0,3333.3333333333335,-999999,-30.0,3864.0
10,1.91822206000487,136,-999999,400.0,1500.0,0.0,0.0,-999999,-29.0,2641.6666666666665
10,1.9182220960325664,202,-999999,-999999,1500.0,0.0,2000.0,-999999,-30.0,1412.3333333333333
10,1.918222132590082,257,-999999,110.0,1500.0,0.0,-999999,-999999,-25.0,-999999
10,1.9182221678230498,314,-999999,206.66666666666666,1500.0,0.0,-999999,-999999,-25.0,-999999
10,1.9182222035858367,315,-999999,110.0,2900.0,0.0,5000.0,-999999,-26.333333333333332,6207.0
10,1.918222242196401,357,-999999,166.66666666666666,1500.0,0.0,1666.6666666666667,-999999,-1.6666666666666667,175.0
10,1.918222277826733,393,-999999,1023.3333333333334,1733.3333333333333,6.666666666666667,0.0,-999999,-25.0,166.66666666666666
10,1.9182223150465223,399,-999999,133.33333333333334,1500.0,0.0,0.0,-999999,-24.0,6548.333333333333
10,1.9182223520676296,402,-999999,373.3333333333333,10466.666666666666,0.0,0.0,-999999,-8.333333333333334,173.66666666666666
10,1.9182223904795117,410,-999999,243.33333333333334,1500.0,0.0,-999999,-999999,-30.0,-999999
10,1.9182224261098437,415,-999999,110.0,5766.666666666667,0.0,9000.0,-999999,-25.0,742.0
