tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
0,0.051686694886949325,Alien-v0,0.0,333.3333333333333,60.375,6,22
0,0.09712779766983456,Asteroids-v0,90.0,3856.6666666666665,256.95,6,86
0,0.13550407045417362,Atlantis-v0,1500.0,30366.666666666668,1796.1666666666665,6,156
0,0.38025219718615216,BankHeist-v0,0.0,50.0,0.6750000000000002,6,301
0,0.553205561571651,BattleZone-v0,0.0,13000.0,1855.8333333333328,6,202
0,0.8690496687756645,Bowling-v0,0.0,31.0,1.4108333333333332,6,230
0,1.0039560723304748,Boxing-v0,-100.0,2.6666666666666665,-45.74583333333334,6,20
0,1.0714954390790727,Centipede-v0,153.33333333333334,19297.333333333332,2654.185,6,288
1,1.117860915131039,Alien-v0,0.0,333.3333333333333,68.64505403158772,6,22
1,1.1544582908683354,Asteroids-v0,90.0,3856.6666666666665,215.41978387364924,6,86
1,1.1889683664507336,Atlantis-v0,1500.0,41000.0,2036.7414796342475,6,506
1,1.4085836577415467,BankHeist-v0,0.0,50.0,0.5569409808811305,6,301
1,1.549481524096595,BattleZone-v0,0.0,16000.0,2068.9941812136326,6,494
1,1.8217308555046718,Bowling-v0,0.0,38.333333333333336,1.369908561928512,6,439
1,1.9341739489634833,Boxing-v0,-100.0,2.6666666666666665,-46.545303408146296,6,20
1,1.9874697825643752,Centipede-v0,158.33333333333334,19297.333333333332,2471.5004156275986,6,288
2,2.0375636196136475,Alien-v0,0.0,680.0,62.418745275888135,6,766
2,2.076721918516689,Asteroids-v0,90.0,3856.6666666666665,214.98866213151936,6,86
2,2.1159752151038913,Atlantis-v0,1500.0,41000.0,2286.6969009826153,6,506
2,2.356157508360015,BankHeist-v0,0.0,50.0,0.5366591080876795,6,301
2,2.4985337214337453,BattleZone-v0,0.0,16000.0,1977.3242630385478,6,494
2,2.777959075106515,Bowling-v0,0.0,38.333333333333336,2.054421768707483,6,439
2,2.9009872766335807,Boxing-v0,-100.0,4.0,-46.39304610733183,21,1121
2,2.9636065647999446,Centipede-v0,158.66666666666666,19297.333333333332,2584.4263038548743,6,288
3,3.015655596587393,Alien-v0,0.0,680.0,66.6809421841542,6,766
3,3.0560672189791998,Asteroids-v0,80.0,3856.6666666666665,222.19129193433255,6,86
3,3.090045634243223,Atlantis-v0,1500.0,41000.0,2094.5039257673093,6,506
