tpgGen,envGen,gamesPlayed,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams,champUid
3,1,55,500,ChopperCommand-v0,0.0,1100.0,177.65625,0.3318526170798878,16,750,640,1470
3,1,56,500,FishingDerby-v0,-24.0,0.0,-17.9921875,0.5231047453703652,11,750,640,1759
3,1,57,500,Frostbite-v0,0.0,140.0,22.984375,0.26635487528344737,6,750,640,839
3,1,58,500,Boxing-v0,-67.0,18.0,-8.4375,0.9776693579392554,6,750,640,1268
3,1,59,500,Asteroids-v0,0.0,1080.0,117.359375,0.2371392032464565,6,750,640,692
3,1,60,500,BankHeist-v0,0.0,60.0,1.71875,0.05956790123456797,11,750,640,1694
4,1,61,500,Alien-v0,0.0,320.0,66.65562913907284,0.4010819076526854,6,750,604,610
4,1,62,500,Hero-v0,0.0,2770.0,63.658940397350996,0.021637998114422973,6,750,604,133
4,1,63,500,BankHeist-v0,0.0,60.0,1.3741721854304636,0.04676641321232932,11,750,604,1694
4,1,64,500,BattleZone-v0,0.0,7000.0,370.86092715231786,0.10391794686969712,11,750,604,1625
4,1,65,500,ChopperCommand-v0,0.0,1100.0,161.25827814569536,0.3068128606960624,16,750,604,1470
4,1,66,500,DoubleDunk-v0,-6.0,2.0,-0.5728476821192053,0.9604488594554872,6,750,604,190
4,1,67,500,Atlantis-v0,700.0,7700.0,1651.8211920529802,0.31438843086903256,6,750,604,986
4,1,68,500,Boxing-v0,-65.0,18.0,-7.587748344370861,0.9817827121139102,6,750,604,1268
4,1,69,500,Freeway-v0,0.0,6.0,1.0943708609271523,0.26228435941460215,6,750,604,130
4,1,70,500,Frostbite-v0,0.0,140.0,22.71523178807947,0.26586175308975735,6,750,604,839
4,1,71,500,Gravitar-v0,0.0,600.0,6.374172185430464,0.018947755702722592,6,750,604,1380
4,1,72,500,Asteroids-v0,0.0,1080.0,117.94701986754967,0.23961023951485397,6,750,604,692
4,1,73,500,Centipede-v0,0.0,4700.0,871.6870860927153,0.37593584489966975,11,750,604,1879
4,1,74,500,Bowling-v0,0.0,26.0,0.23013245033112584,0.017163681962459338,6,750,604,530
4,1,75,500,FishingDerby-v0,-24.0,0.0,-18.008278145695364,0.5265973755212118,11,750,604,1759
5,2,76,500,Gravitar-v0,0.0,600.0,3.9101497504159735,0.011030997719849634,6,750,601,1380
5,2,77,500,BankHeist-v0,0.0,60.0,1.4475873544093179,0.04847887266079169,11,750,601,1694
5,2,78,500,BattleZone-v0,0.0,10000.0,284.52579034941766,0.059633943427620684,6,750,601,2403
5,2,79,500,Asteroids-v0,0.0,1080.0,119.65058236272878,0.24175857896748362,6,750,601,692
5,2,80,500,Alien-v0,0.0,320.0,52.7287853577371,0.31552447310038795,6,750,601,610
5,2,81,500,FishingDerby-v0,-24.0,0.0,-17.763727121464225,0.5376019391549017,11,750,601,1759
5,2,82,500,Bowling-v0,0.0,26.0,0.2562396006655574,0.01852708777065618,6,750,601,530
5,2,83,500,DoubleDunk-v0,-4.0,2.0,-0.5490848585690515,0.8951336250282375,6,750,601,190
5,2,84,500,Atlantis-v0,700.0,7700.0,1616.8053244592345,0.3065331024256588,6,750,601,986
5,2,85,500,Freeway-v0,0.0,6.0,1.7487520798668885,0.41511061810562505,6,750,601,130
5,2,86,500,Frostbite-v0,0.0,140.0,17.63727121464226,0.20510034296580507,6,750,601,839
5,2,87,500,Boxing-v0,-44.0,18.0,-7.816971713810316,0.9268431290278342,6,750,601,1268
6,2,88,500,Asteroids-v0,0.0,1080.0,111.3157894736842,0.23009519970479517,6,750,608,692
6,2,89,500,BankHeist-v0,0.0,70.0,1.2828947368421053,0.037056928034371626,6,750,608,2500
6,2,90,500,Atlantis-v0,300.0,7700.0,1602.1381578947369,0.402104451535464,6,750,608,986
6,2,91,500,Frostbite-v0,0.0,160.0,11.480263157894736,0.1236293859649121,9,750,608,2501
6,2,92,500,BattleZone-v0,0.0,10000.0,159.53947368421052,0.03421052631578947,6,750,608,2403
6,2,93,500,Gravitar-v0,0.0,600.0,3.7828947368421053,0.010680636777128005,6,750,608,1380
6,2,94,500,Freeway-v0,0.0,6.0,2.536184210526316,0.6062378167641307,6,750,608,130
6,2,95,500,FishingDerby-v0,-24.0,0.0,-18.123355263157894,0.5113964018843354,11,750,608,1759
6,2,96,500,DoubleDunk-v0,-6.0,2.0,-0.6381578947368421,0.9576023391812911,6,750,608,190
6,2,97,500,Bowling-v0,0.0,26.0,0.20723684210526316,0.014394961763382811,6,750,608,530
6,2,98,500,Boxing-v0,-62.0,18.0,-8.15296052631579,0.9764971673976611,6,750,608,1268
6,2,99,500,Alien-v0,0.0,320.0,35.08223684210526,0.2152235243055555,6,750,608,610
7,2,100,500,Atlantis-v0,700.0,7700.0,1602.7350427350427,0.3019400352733653,6,751,585,986
7,2,101,500,Frostbite-v0,0.0,160.0,8.324786324786325,0.09020655270655263,9,751,585,2501
7,2,102,500,Asteroids-v0,0.0,1080.0,119.26495726495726,0.2377298123983086,6,751,585,692
7,2,103,500,BattleZone-v0,0.0,10000.0,114.52991452991454,0.024311490978157636,6,751,585,2403
7,2,104,500,BankHeist-v0,0.0,70.0,1.0085470085470085,0.02967614396185824,6,751,585,2500
7,2,105,500,FishingDerby-v0,-24.0,0.0,-18.295726495726495,0.5011659807956055,11,751,585,1759
7,2,106,500,Freeway-v0,0.0,6.0,2.724786324786325,0.6523583412472281,6,751,585,130
7,2,107,500,DoubleDunk-v0,-6.0,2.0,-0.4888888888888889,0.9652421652421699,6,751,585,190
7,2,108,500,Bowling-v0,0.0,26.0,0.1811965811965812,0.012704192585849384,6,751,585,530
7,2,109,500,Gravitar-v0,0.0,600.0,3.5042735042735043,0.009728817136224543,6,751,585,1380
7,2,110,500,Alien-v0,0.0,320.0,27.28205128205128,0.16911206077872734,6,751,585,610
7,2,111,500,Boxing-v0,-59.0,18.0,-8.116239316239316,0.9737151416805089,6,751,585,1268
8,2,112,500,Gravitar-v0,0.0,600.0,4.010238907849829,0.011734715375215943,6,751,586,1380
8,2,113,500,Bowling-v0,0.0,26.0,0.1552901023890785,0.0102052493756353,6,751,586,530
8,2,114,500,Asteroids-v0,0.0,1080.0,115.59726962457339,0.2292229447667029,6,751,586,692
8,2,115,500,Alien-v0,0.0,320.0,24.07849829351536,0.14862710940462637,6,751,586,610
8,2,116,500,Boxing-v0,-39.0,18.0,-7.912969283276451,0.9016359632490382,6,751,586,1268
8,2,117,500,Atlantis-v0,700.0,7700.0,1567.4061433447098,0.29657077848203794,6,751,586,986
8,2,118,500,Freeway-v0,0.0,6.0,3.0819112627986347,0.7205157375805823,6,751,586,130
8,2,119,500,Frostbite-v0,0.0,160.0,7.491467576791809,0.08237343572241175,9,751,586,2501
