tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.13598152061303456,Boxing-v0,-100.0,-0.3333333333333333,-47.17499999999999,6,6,242,200
2,0.2243824745549096,Boxing-v0,-100.0,1.6666666666666667,-34.95333333333335,4,276,268,219
3,0.31250912156369953,Boxing-v0,-100.0,1.6666666666666667,-31.13394216133943,4,276,262,218
4,0.3918599191639158,Boxing-v0,-100.0,8.333333333333334,-27.964831804281328,19,507,261,211
5,0.4646170801586575,Boxing-v0,-100.0,8.333333333333334,-25.66192733017379,19,507,285,215
6,0.5454363493786918,Boxing-v0,-100.0,8.333333333333334,-26.173643410852698,19,507,289,228
7,0.633566571076711,Boxing-v0,-100.0,8.333333333333334,-24.34356725146197,19,507,283,212
8,0.7063366603189044,Boxing-v0,-100.0,8.333333333333334,-20.364779874213838,19,507,283,215
9,0.7805463525321749,Boxing-v0,-100.0,8.333333333333334,-18.30387596899224,19,507,285,219
10,0.8617231746514639,Boxing-v0,-100.0,8.333333333333334,-16.1765601217656,19,507,283,214
11,0.9416495289405187,Boxing-v0,-100.0,8.333333333333334,-15.080996884735205,19,507,286,214
12,1.0218220200803545,Boxing-v0,-100.0,8.333333333333334,-14.584112149532714,19,507,283,219
13,1.0944325886832342,Boxing-v0,-100.0,8.333333333333334,-11.732115677321158,19,507,291,212
14,1.1738725035058128,Boxing-v0,-100.0,8.333333333333334,-15.932389937106919,19,507,295,222
15,1.2549790709548527,Boxing-v0,-100.0,8.333333333333334,-10.66216216216216,19,507,296,217
16,1.3342027842998505,Boxing-v0,-100.0,8.333333333333334,-11.941628264208912,19,507,307,224
17,1.4158260145452288,Boxing-v0,-100.0,8.666666666666666,-10.806547619047619,20,1977,297,226
18,1.488686553703414,Boxing-v0,-100.0,8.666666666666666,-10.557522123893808,20,1977,294,220
19,1.5702584136194653,Boxing-v0,-100.0,14.0,-10.043939393939393,31,2216,290,227
20,1.6421706924835842,Boxing-v0,-100.0,14.0,-11.95447870778267,31,2216,292,225
21,1.7223210876517825,Boxing-v0,-100.0,14.0,-10.564444444444439,31,2216,301,221
22,1.8116983414358563,Boxing-v0,-100.0,14.0,-11.357466063348411,31,2216,294,226
23,1.884822658499082,Boxing-v0,-100.0,14.0,-9.7551622418879,31,2216,285,218
24,1.9569725288947424,Boxing-v0,-100.0,14.0,-8.683486238532113,31,2216,286,214
25,2.0374194508128696,Boxing-v0,-100.0,14.0,-8.157320872274143,31,2216,285,221
26,2.1108513166507086,Boxing-v0,-100.0,14.0,-7.224736048265458,31,2216,280,213
27,2.183947871062491,Boxing-v0,-100.0,14.0,-6.729264475743348,31,2216,285,214
28,2.2572951001591153,Boxing-v0,-100.0,14.666666666666666,-6.816199376947037,15,3195,290,218
29,2.3381846959723367,Boxing-v0,-100.0,16.333333333333332,-6.7278287461773685,36,3271,283,218
30,2.412538312011295,Boxing-v0,-100.0,16.333333333333332,-5.168195718654435,36,3271,282,216
31,2.494851743578911,Boxing-v0,-100.0,16.333333333333332,-5.078703703703702,36,3271,286,218
32,2.568504795100954,Boxing-v0,-100.0,16.333333333333332,-3.4266055045871555,36,3271,289,223
33,2.6502565344174704,Boxing-v0,-100.0,16.333333333333332,-1.6995515695067267,36,3271,277,221
34,2.723861909177568,Boxing-v0,-100.0,16.333333333333332,-0.5505279034690812,36,3271,274,212
35,2.798111494845814,Boxing-v0,-100.0,17.0,3.1493710691823877,19,3975,274,216
36,2.8796978331274454,Boxing-v0,-100.0,17.0,-1.6141975308642,19,3975,276,211
37,2.9536854490306643,Boxing-v0,-100.0,18.0,0.5387045813586078,9,4118,284,217
38,3.0358620937665304,Boxing-v0,-100.0,18.666666666666668,-0.0629800307219653,10,4304,283,221
39,3.1188317057159214,Boxing-v0,-100.0,19.0,0.3876319758672692,47,4341,276,218
40,3.193897225856781,Boxing-v0,-100.0,19.0,2.3685015290519926,47,4341,275,218
41,3.2690383754173915,Boxing-v0,-100.0,19.0,0.7828746177370061,47,4341,272,219
42,3.351446071267128,Boxing-v0,-100.0,19.0,1.786910197869104,47,4341,276,217
43,3.434705317219098,Boxing-v0,-100.0,19.0,0.10445468509984503,47,4341,279,220
44,3.517245347301165,Boxing-v0,-100.0,19.0,1.569696969696971,47,4341,283,215
45,3.600936597585678,Boxing-v0,-100.0,19.0,1.5348837209302275,47,4341,285,225
46,3.6840626196728814,Boxing-v0,-100.0,19.0,2.6162962962962983,47,4341,278,216
47,3.759293659329414,Boxing-v0,-72.0,19.0,4.237654320987655,47,4341,286,223
48,3.841879755722152,Boxing-v0,-93.66666666666667,23.0,2.5440956651718936,25,5301,282,227
49,3.9246096790499156,Boxing-v0,-100.0,23.0,3.4625550660792928,25,5301,272,223
50,3.999373731017113,Boxing-v0,-100.0,23.0,4.297458893871446,25,5301,266,216
51,4.074664487573836,Boxing-v0,-85.33333333333333,23.0,3.4074074074074012,25,5301,270,210
52,4.149422371056345,Boxing-v0,-100.0,23.0,2.5365079365079395,25,5301,287,218
53,4.241239646342065,Boxing-v0,-100.0,23.0,2.510703363914371,25,5301,284,228
54,4.324372689127922,Boxing-v0,-93.66666666666667,23.0,4.112573099415204,25,5301,274,222
55,4.399991976751221,Boxing-v0,-100.0,23.0,4.487987987987986,25,5301,271,213
56,4.474497941401269,Boxing-v0,-99.66666666666667,23.0,4.428794992175267,25,5301,282,222
57,4.565076866083675,Boxing-v0,-100.0,23.0,3.570570570570571,25,5301,285,223
58,4.6482937561803395,Boxing-v0,-100.0,23.0,5.3034379671151,25,5301,279,229
59,4.731028644707468,Boxing-v0,-51.0,23.0,3.4381368267831114,25,5301,266,217
60,4.80583381096522,Boxing-v0,-54.0,23.0,4.660522273425497,25,5301,267,216
61,4.880092315541374,Boxing-v0,-100.0,23.0,4.68518518518518,25,5301,269,211
62,4.955137793289291,Boxing-v0,-100.0,23.0,4.486571879936813,25,5301,279,216
63,5.037702793214057,Boxing-v0,-99.33333333333333,23.0,6.14506172839507,25,5301,285,223
64,5.120460565619998,Boxing-v0,-100.0,23.0,5.023916292974585,25,5301,291,221
65,5.202159745163388,Boxing-v0,-100.0,23.0,3.31070889894419,25,5301,286,226
66,5.2849719028340445,Boxing-v0,-100.0,23.0,5.3643067846607675,25,5301,275,220
67,5.359950072964033,Boxing-v0,-98.66666666666667,23.0,6.671212121212122,25,5301,281,225
68,5.443119103776084,Boxing-v0,-100.0,23.0,3.9170370370370353,25,5301,270,216
69,5.518096257381969,Boxing-v0,-100.0,23.0,4.9197530864197505,25,5301,276,218
70,5.601222206817733,Boxing-v0,-100.0,23.0,5.948012232415904,25,5301,273,224
71,5.676356576946047,Boxing-v0,-100.0,23.0,4.241071428571425,25,5301,269,215
72,5.751090232531229,Boxing-v0,-99.66666666666667,23.0,6.285271317829454,25,5301,275,219
73,5.8338632393545575,Boxing-v0,-100.0,23.0,4.146118721461184,25,5301,277,218
74,5.916695887976222,Boxing-v0,-100.0,23.0,5.603975535168194,25,5301,282,221
75,5.998023046983613,Boxing-v0,-100.0,23.0,2.2790346907993935,25,5301,279,224
76,6.080299452543259,Boxing-v0,-100.0,23.0,4.422619047619043,25,5301,269,223
77,6.154808124899864,Boxing-v0,-100.0,23.0,5.497757847533629,25,5301,271,210
78,6.23661031431622,Boxing-v0,-100.0,23.0,2.284126984126983,25,5301,284,228
79,6.319322279228104,Boxing-v0,-100.0,23.0,5.064327485380114,25,5301,274,221
80,6.394298206567765,Boxing-v0,-100.0,23.0,5.187028657616888,25,5301,277,214
