tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.16564060681396062,Boxing-v0,-100.0,-1.0,-45.300925925925945,6,201,424,360
2,0.2633671995004018,Boxing-v0,-100.0,-1.0,-36.2074074074074,6,201,478,384
3,0.37000805543528664,Boxing-v0,-100.0,-0.6666666666666666,-32.06597222222219,11,810,488,402
4,0.46730203244421215,Boxing-v0,-100.0,-0.3333333333333333,-30.03482587064678,11,840,485,384
5,0.5597197071048948,Boxing-v0,-100.0,-0.3333333333333333,-28.615451388888903,11,840,511,396
6,0.6586229933632745,Boxing-v0,-100.0,-0.3333333333333333,-26.014309764309782,11,840,505,398
7,0.7519552765952217,Boxing-v0,-100.0,0.0,-25.069514237855937,3,1469,506,393
8,0.8424353804853227,Boxing-v0,-100.0,2.0,-24.536895674300265,11,1723,497,386
9,0.9306806290811963,Boxing-v0,-100.0,5.666666666666667,-21.377374784110547,6,2019,510,385
10,1.026711864537663,Boxing-v0,-100.0,5.666666666666667,-20.011255411255412,6,2019,505,398
11,1.1172391010655298,Boxing-v0,-100.0,5.666666666666667,-18.023450586264648,6,2019,504,381
12,1.209577254984114,Boxing-v0,-100.0,5.666666666666667,-16.76552930883639,6,2019,509,395
13,1.3071052210860783,Boxing-v0,-100.0,7.333333333333333,-11.989873417721517,16,2706,513,385
14,1.400186654196845,Boxing-v0,-100.0,7.333333333333333,-12.621645021645021,16,2706,518,396
15,1.4968682296408546,Boxing-v0,-100.0,7.333333333333333,-12.035353535353538,16,2706,520,394
16,1.5892723486158582,Boxing-v0,-100.0,17.0,-12.107445008460234,14,3384,509,394
17,1.6810197477208244,Boxing-v0,-100.0,17.0,-10.987309644670049,14,3384,502,390
18,1.7733226299948162,Boxing-v0,-100.0,17.0,-10.010256410256412,14,3384,503,384
19,1.8648402080270978,Boxing-v0,-100.0,17.0,-10.065972222222223,14,3384,507,390
20,1.961832413342264,Boxing-v0,-100.0,17.0,-9.250427350427357,14,3384,510,389
21,2.0541762745380403,Boxing-v0,-100.0,17.0,-9.164524421593827,14,3384,505,397
22,2.1518967974848215,Boxing-v0,-100.0,17.0,-10.070528967254413,14,3384,498,386
23,2.2430547218852572,Boxing-v0,-100.0,17.0,-9.248704663212436,14,3384,503,387
24,2.3372681935628257,Boxing-v0,-100.0,17.0,-7.708871662360035,14,3384,519,394
25,2.438714568681187,Boxing-v0,-100.0,17.0,-9.966159052453465,14,3384,506,395
26,2.5284662095043395,Boxing-v0,-100.0,20.333333333333332,-6.221940928270043,6,5361,500,399
27,2.6262748058636984,Boxing-v0,-100.0,20.333333333333332,-9.027568922305765,6,5361,494,387
28,2.7247513151831098,Boxing-v0,-100.0,20.333333333333332,-7.23428079242033,6,5361,502,389
29,2.818238386710485,Boxing-v0,-100.0,20.333333333333332,-9.036846615252783,6,5361,501,395
30,2.9133852968613305,Boxing-v0,-100.0,20.333333333333332,-4.958649789029537,6,5361,505,383
31,3.013252669374148,Boxing-v0,-100.0,20.333333333333332,-3.6910356832027853,6,5361,507,391
32,3.112697538667255,Boxing-v0,-100.0,20.333333333333332,-5.307757885763004,6,5361,503,393
33,3.206590504116482,Boxing-v0,-100.0,20.333333333333332,-4.569974554707381,6,5361,494,392
34,3.3003439048926038,Boxing-v0,-100.0,20.333333333333332,-6.079081632653063,6,5361,508,381
